기술지주회사(코드),기준연도,업력년수,설립유형,지역구분,자회사수(신규),자회사 규모,자회사 매출액(평균),자본금 규모 구분,매출액(영업수익),전담인력,총 수입,자회사배당수익,자회사지분매각(일부+전부),투자조합배당수익,국책사업비(정부사업비),"기타 (용역, 컨설팅, 수수료 등)"
AQ(연세대학교 기술지주),2024,13,단독형,①서울/경기/인천,3~5개사,20개이상(49개),5억이상~8억미만,60억이상(165.1억),5억이상~10억미만,9명이상(16명),10억이상~30억미만,0원,1천만원이상~5천만원미만,5억이상~10억미만,10억이상,5천만원이상~1억원미만
AR,2024,12,단독형,③부산/울산/경남,0개사,10개미만,1억미만,20억이상~30억미만,1천만원미만,3~5명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
AS,2024,0,단독형,⑤광주/전남/전북,1~2개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
AT,2024,8,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,1억이상~3억미만,20억이상~30억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,3천만원미만,1억원이상~5억원미만,0원
AU(인제대학교 기술지주),2024,6,단독형,③부산/울산/경남,6~8개사,20개이상(44개),5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,1천만원이상~5천만원미만,0원,3천만원이상~5천만원미만,0원
AV(인천대학교 기술지주),2024,15,단독형,①서울/경기/인천,3~5개사,20개이상(37개),3억이상~5억미만,40억이상~50억미만,1천만원미만,1~2명,5천만원이상~1억원미만,5천만원이상,0원,0원,0원,0원
AW,2024,6,단독형,①서울/경기/인천,0개사,10개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,0명,5천만원이상~1억원미만,0원,0원,0원,0원,5천만원이상~1억원미만
AX(전남대학교 기술지주),2024,13,단독형,⑤광주/전남/전북,3~5개사,20개이상(56개),1억이상~3억미만,50억이상~60억미만,10억이상~30억미만,9명이상(11명),10억이상~30억미만,0원,1천만원미만,1억원이상~5억원미만,5억이상~10억미만,5억이상~10억미만
AY,2024,12,단독형,⑦제주,0개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,0명,5천만원이상~1억원미만,0원,1천만원미만,3천만원미만,3천만원이상~5천만원미만,0원
AZ,2024,4,단독형,⑦제주,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
B(강원지역대학연합기술지주),2024,15,공동형,⑥강원,1~2개사,20개이상(57개),5억이상~8억미만,10억미만,5천만원이상~1억원미만,3~5명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,5천만원이상~1억원미만
BA,2024,14,단독형,⑤광주/전남/전북,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
BB(경일대학교 기술지주),2024,1,단독형,④대구/경북,3~5개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,3천만원미만
BC(금오공과대학교 기술지주),2024,2,단독형,④대구/경북,9개사 이상(10개),20개이상(31개),5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,0원,0원,0원,0원,0원,0원
BD(건국대학교글로컬기술지주),2024,1,단독형,②대전/충남/충북,9개사 이상(14개),20개이상(21개),1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1천만원미만,0원,1천만원미만,0원,0원,0원
BE,2024,11,단독형,③부산/울산/경남,1~2개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원미만
BF(국민대학교기술지주),2024,6,단독형,①서울/경기/인천,9개사 이상(9개),20개이상(48개),3억이상~5억미만,60억이상(268.6억),5억이상~10억미만,3~5명,1억원이상~5억원미만,0원,1천만원미만,3천만원미만,1억원이상~5억원미만,1억원이상~5억원미만
BG(군산대학교 기술지주),2024,6,단독형,⑤광주/전남/전북,6~8개사,20개이상(29개),10억이상~15억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,0원,5천만원이상~1억원미만,0원
BH,2024,14,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,1천만원미만,1천만원이상~5천만원미만,0원,0원,0원
BI(대경지역 대학 공동기술지주),2024,10,공동형,④대구/경북,3~5개사,20개이상(72개),5억이상~8억미만,60억이상(66.7억),1억원이상~5억원미만,6~8명,5억이상~10억미만,0원,5천만원이상,1억원이상~5억원미만,5천만원이상~1억원미만,1억원이상~5억원미만
BJ,2024,6,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원
BK(순천향대학교 기술지주),2024,10,단독형,②대전/충남/충북,0개사,20개이상(35개),8억이상~10억미만,10억이상~20억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,1천만원이상~5천만원미만,0원,0원,0원
BL(엔포유대학연합기술지주),2024,8,공동형,①서울/경기/인천,3~5개사,20개이상(70개),5억이상~8억미만,30억이상~40억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,3천만원미만
BM(연세대 바이오헬스 기술지주),2024,3,단독형,①서울/경기/인천,1~2개사,10개미만,15억이상,60억이상(63.2억),5천만원이상~1억원미만,3~5명,5천만원이상~1억원미만,0원,0원,5천만원이상~1억원미만,0원,0원
BN,2024,4,단독형,④대구/경북,3~5개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,1천만원미만,0원,0원,1억원이상~5억원미만,5천만원이상~1억원미만
BO(전남지역대학연합 창업기술지주),2024,6,공동형,⑤광주/전남/전북,1~2개사,20개이상(28개),10억이상~15억미만,30억이상~40억미만,5억이상~10억미만,3~5명,1억원이상~5억원미만,0원,5천만원이상,3천만원미만,0원,3천만원미만
BP(전북지역대학연합기술지주),2024,13,공동형,⑤광주/전남/전북,0개사,20개이상(24개),15억이상,60억이상(69.4억),1억원이상~5억원미만,6~8명,5억이상~10억미만,0원,0원,1억원이상~5억원미만,1억원이상~5억원미만,0원
BQ,2024,6,공동형,④대구/경북,0개사,10개미만,1억미만,10억미만,5억이상~10억미만,6~8명,5억이상~10억미만,0원,0원,0원,1억원이상~5억원미만,1억원이상~5억원미만
BR,2024,6,단독형,②대전/충남/충북,6~8개사,10개이상~20개미만,10억이상~15억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,0원,0원
BS,2024,5,단독형,⑤광주/전남/전북,3~5개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,3천만원미만,5천만원이상~1억원미만,3천만원미만
BT,2024,10,단독형,①서울/경기/인천,0개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원미만,1천만원미만,0원,0원,0원,0원
BU(창원대학교 기술지주),2024,6,단독형,③부산/울산/경남,0개사,10개미만,5억이상~8억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원
BV(충남대학교 기술지주),2024,7,단독형,②대전/충남/충북,3~5개사,20개이상(49개),3억이상~5억미만,50억이상~60억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,5천만원이상,1억원이상~5억원미만,1억원이상~5억원미만,0원
BW(충북대학교 기술지주),2024,8,단독형,②대전/충남/충북,1~2개사,20개이상(33개),8억이상~10억미만,20억이상~30억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,5천만원이상,3천만원미만,1억원이상~5억원미만,0원
BX(포항공과대학교 기술지주),2024,12,단독형,④대구/경북,1~2개사,20개이상(25개),3억이상~5억미만,60억이상(91.2억),10억이상~30억미만,9명이상(14명),30억이상,0원,5천만원이상,10억이상,5억이상~10억미만,5억이상~10억미만
BY,2024,8,단독형,①서울/경기/인천,1~2개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
BZ,2024,8,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,8억이상~10억미만,10억미만,1천만원이상~5천만원미만,0명,1천만원이상~5천만원미만,1천만원미만,0원,0원,0원,0원
C(광주지역대학연합기술지주),2024,8,공동형,⑤광주/전남/전북,0개사,20개이상(40개),8억이상~10억미만,60억이상(61.1억),10억이상~30억미만,6~8명,5억이상~10억미만,0원,0원,1억원이상~5억원미만,1억원이상~5억원미만,0원
CA,2024,2,단독형,②대전/충남/충북,0개사,10개미만,5억이상~8억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
CB(한국예술종합학교 기술지주),2024,7,단독형,①서울/경기/인천,0개사,10개미만,15억이상,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
CC(한남대학교 기술지주),2024,11,단독형,②대전/충남/충북,1~2개사,20개이상(43개),3억이상~5억미만,10억이상~20억미만,1천만원미만,0명,1천만원미만,0원,0원,0원,0원,3천만원미만
CD,2024,4,단독형,⑥강원,0개사,10개미만,1억이상~3억미만,50억이상~60억미만,5천만원이상~1억원미만,3~5명,5천만원이상~1억원미만,0원,1천만원미만,3천만원이상~5천만원미만,0원,0원
CE(한양대학교 기술지주),2024,16,단독형,①서울/경기/인천,1~2개사,20개이상(36개),5억이상~8억미만,60억이상(103.2억),10억이상~30억미만,6~8명,10억이상~30억미만,0원,5천만원이상,0원,10억이상,0원
CF(한양대학교에리카기술지주),2024,11,단독형,①서울/경기/인천,6~8개사,20개이상(24개사),3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,0원,1억원이상~5억원미만,0원
D(대구한의대학교 기술지주),2024,7,단독형,④대구/경북,3~5개사,20개이상(33개),3억이상~5억미만,10억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,1천만원이상~5천만원미만,0원,5천만원이상~1억원미만,3천만원미만
E,2024,8,단독형,②대전/충남/충북,1~2개사,10개미만,5억이상~8억미만,10억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원
F(전주대학교 기술지주),2024,5,단독형,⑤광주/전남/전북,3~5개사,20개이상(28개),3억이상~5억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,1천만원미만,0원,0원,5천만원이상~1억원미만,5천만원이상~1억원미만
G,2024,11,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,10억이상~15억미만,20억이상~30억미만,5억이상~10억미만,3~5명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,0원,1억원이상~5억원미만,0원
H,2024,7,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,1천만원미만,0원,3천만원미만,0원
I,2024,7,단독형,⑥강원,0개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,1천만원이상~5천만원미만,0원,0원,0원,0원
J(가톨릭대학교 기술지주),2024,12,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
K(건국대학교 기술지주),2024,10,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,60억이상(61.3억),5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원
L(경북대학교 기술지주),2024,11,단독형,④대구/경북,1~2개사,20개이상(36개),3억이상~5억미만,50억이상~60억미만,1억원이상~5억원미만,9명이상(12명),10억이상~30억미만,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,5억이상~10억미만,0원
M(경상국립대학교 기술지주),2024,8,단독형,③부산/울산/경남,0개사,20개이상(25개),5억이상~8억미만,20억이상~30억미만,1억원이상~5억원미만,6~8명,5억이상~10억미만,0원,1천만원미만,0원,0원,5억이상~10억미만
N,2024,15,단독형,①서울/경기/인천,0개사,10개이상~20개미만,1억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,1천만원이상~5천만원미만,0원,3천만원미만,0원
O(고려대학교 기술지주),2024,15,단독형,①서울/경기/인천,1~2개사,20개이상(63개),3억이상~5억미만,60억이상(205.0억),10억이상~30억미만,9명이상(10명),10억이상~30억미만,0원,5천만원이상,5억이상~10억미만,1억원이상~5억원미만,0원
P,2024,5,단독형,①서울/경기/인천,1~2개사,10개미만,1억미만,10억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,1천만원미만,3천만원이상~5천만원미만,0원,3천만원이상~5천만원미만
Q,2024,7,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,1천만원미만,0원,0원,3천만원미만
R,2024,3,단독형,⑤광주/전남/전북,1~2개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,1천만원미만,0원,1천만원미만,0원,0원,0원
S,2024,7,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원미만,0명,1천만원미만,0원,0원,0원,0원,3천만원미만
T(한국해양대학교 기술지주),2024,10,단독형,③부산/울산/경남,3~5개사,20개이상(44개),1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,1천만원이상~5천만원미만,0원,3천만원이상~5천만원미만,0원
U(한밭대학교 기술지주),2024,10,단독형,②대전/충남/충북,3~5개사,20개이상(82개),5억이상~8억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,3천만원미만,1억원이상~5억원미만,1억원이상~5억원미만
V(대구대학교 기술지주),2024,7,단독형,④대구/경북,1~2개사,20개이상(25개),3억이상~5억미만,10억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,1천만원이상~5천만원미만,0원,5천만원이상~1억원미만,0원
W(대전대학교 기술지주),2024,7,단독형,②대전/충남/충북,3~5개사,20개이상(25개),1억이상~3억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,1천만원이상~5천만원미만,0원,0원,3천만원미만
X(동국대학교 기술지주),2024,14,단독형,①서울/경기/인천,3~5개사,20개이상(22개),15억이상,30억이상~40억미만,1억원이상~5억원미만,3~5명,5억이상~10억미만,5천만원이상,0원,0원,1억원이상~5억원미만,1억원이상~5억원미만
Y,2024,2,단독형,③부산/울산/경남,1~2개사,10개미만,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,0원,3천만원미만
Z,2024,14,단독형,⑤광주/전남/전북,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
