기술지주회사(코드),기준연도,업력년수,설립유형,지역구분,자회사수(신규),자회사 규모,자회사 매출액(평균),자본금 규모 구분,매출액(영업수익),전담인력,총 수입,자회사배당수익,자회사지분매각(일부+전부),투자조합배당수익,국책사업비(정부사업비),"기타 (용역, 컨설팅, 수수료 등)"
AK,2022,10,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,3~5명,5억이상~10억미만,0원,0원,0원,5억이상~10억미만,0원
AL,2022,10,단독형,①서울/경기/인천,0개사,10개미만,5억이상~8억미만,20억이상~30억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,3천만원이상~5천만원미만,0원,0원
AM,2022,6,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
AN,2022,6,단독형,①서울/경기/인천,1~2개사,10개미만,1억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,3천만원미만,3천만원미만,0원
AO,2022,5,단독형,①서울/경기/인천,0개사,10개미만,5억이상~8억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,3천만원이상~5천만원미만,5천만원이상~1억원미만,0원
AP,2022,1,단독형,①서울/경기/인천,1~2개사,10개미만,1억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만
AQ(연세대학교 기술지주),2022,11,단독형,①서울/경기/인천,3~5개사,20개이상(38개),8억이상~10억미만,60억이상(165.1억),10억이상~30억미만,9명이상(15명),10억이상~30억미만,0원,5천만원이상,1억원이상~5억원미만,10억이상,0원
AR,2022,10,단독형,③부산/울산/경남,0개사,10개미만,1억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,1억원이상~5억원미만,5천만원이상~1억원미만,0원
AT,2022,6,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,1억미만,20억이상~30억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,3천만원미만,5천만원이상~1억원미만,0원
AU(인제대학교 기술지주),2022,4,단독형,③부산/울산/경남,9개사 이상(9개),20개이상(31개),3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원
AV(인천대학교 기술지주),2022,13,단독형,①서울/경기/인천,3~5개사,20개이상(25개),8억이상~10억미만,40억이상~50억미만,1천만원미만,1~2명,5천만원이상~1억원미만,1천만원이상~5천만원미만,0원,0원,3천만원이상~5천만원미만,0원
AW,2022,4,단독형,①서울/경기/인천,0개사,10개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,1천만원이상~5천만원미만,0원,0원,5천만원이상~1억원미만
AX(전남대학교 기술지주),2022,11,단독형,⑤광주/전남/전북,3~5개사,20개이상(40개),5억이상~8억미만,50억이상~60억미만,10억이상~30억미만,9명이상(13명),30억이상,0원,0원,1억원이상~5억원미만,10억이상,0원
AY,2022,10,단독형,⑦제주,1~2개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만
AZ,2022,2,단독형,⑦제주,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
B(강원지역대학연합기술지주),2022,113,공동형,⑥강원,3~5개사,20개이상(54개),5억이상~8억미만,10억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,0원,1억원이상~5억원미만,1억원이상~5억원미만
BA,2022,12,단독형,⑤광주/전남/전북,1~2개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원
BC(금오공과대학교 기술지주),2022,0,단독형,④대구/경북,9개사 이상(11개),10개이상~20개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,1~2명,0원,0원,0원,0원,0원,0원
BE,2022,9,단독형,③부산/울산/경남,0개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원
BF(국민대학교기술지주),2022,4,단독형,①서울/경기/인천,6~8개사,20개이상(30개),5억이상~8억미만,60억이상(120.1억),10억이상~30억미만,6~8명,10억이상~30억미만,0원,5천만원이상,3천만원이상~5천만원미만,1억원이상~5억원미만,5억이상~10억미만
BG,2022,4,단독형,⑤광주/전남/전북,3~5개사,10개이상~20개미만,5억이상~8억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,3천만원이상~5천만원미만,5천만원이상~1억원미만
BH,2022,12,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원
BI(대경지역 대학 공동기술지주),2022,8,공동형,④대구/경북,1~2개사,20개이상(65개),8억이상~10억미만,60억이상(66.7억),1억원이상~5억원미만,6~8명,10억이상~30억미만,0원,5천만원이상,1억원이상~5억원미만,3천만원이상~5천만원미만,5천만원이상~1억원미만
BJ,2022,4,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,5천만원이상,0원,3천만원이상~5천만원미만,0원
BK(순천향대학교 기술지주),2022,8,단독형,②대전/충남/충북,1~2개사,20개이상(34개),5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,0원,1억원이상~5억원미만,0원
BL(엔포유대학연합기술지주),2022,6,공동형,①서울/경기/인천,9개사 이상(9개),20개이상(53개),8억이상~10억미만,10억이상~20억미만,5억이상~10억미만,1~2명,5억이상~10억미만,1천만원미만,5천만원이상,0원,1억원이상~5억원미만,3천만원미만
BM(연세대 바이오헬스 기술지주),2022,1,단독형,①서울/경기/인천,1~2개사,10개미만,15억이상,30억이상~40억미만,10억이상~30억미만,1~2명,5억이상~10억미만,0원,0원,0원,0원,5억이상~10억미만
BN,2022,2,단독형,④대구/경북,1~2개사,10개미만,1억미만,10억이상~20억미만,5천만원이상~1억원미만,3~5명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,5천만원이상~1억원미만
BO(전남지역대학연합 창업기술지주),2022,4,공동형,⑤광주/전남/전북,6~8개사,10개이상~20개미만,10억이상~15억미만,30억이상~40억미만,1억원이상~5억원미만,3~5명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
BP(전북지역대학연합기술지주),2022,11,공동형,⑤광주/전남/전북,1~2개사,20개이상(24개),15억이상,60억이상(69.4억),10억이상~30억미만,6~8명,10억이상~30억미만,0원,5천만원이상,1억원이상~5억원미만,5억이상~10억미만,0원
BQ,2022,1,공동형,④대구/경북,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,1천만원미만,0원,0원,0원,0원,3천만원미만
BR,2022,1,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,1천만원미만,0원,0원,0원
BS,2022,3,단독형,⑤광주/전남/전북,3~5개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,3천만원이상~5천만원미만,5천만원이상~1억원미만,1억원이상~5억원미만
BT,2022,8,단독형,①서울/경기/인천,3~5개사,10개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
BU,2022,4,단독형,③부산/울산/경남,0개사,10개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
BV(충남대학교 기술지주),2022,5,단독형,②대전/충남/충북,6~8개사,20개이상(33개),5억이상~8억미만,30억이상~40억미만,1억원이상~5억원미만,3~5명,5억이상~10억미만,0원,5천만원이상,1억원이상~5억원미만,1억원이상~5억원미만,0원
BW(충북대학교 기술지주),2022,6,단독형,②대전/충남/충북,9개사 이상(10개),20개이상(29개),8억이상~10억미만,20억이상~30억미만,1천만원미만,6~8명,5천만원이상~1억원미만,0원,1천만원미만,0원,5천만원이상~1억원미만,0원
BX(포항공과대학교 기술지주),2022,10,단독형,④대구/경북,1~2개사,20개이상(22개),8억이상~10억미만,60억이상(61.2억),10억이상~30억미만,9명이상(11명),10억이상~30억미만,0원,0원,5억이상~10억미만,5억이상~10억미만,5억이상~10억미만
BY,2022,6,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
BZ,2022,6,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
C(광주지역대학연합기술지주),2022,6,공동형,⑤광주/전남/전북,1~2개사,20개이상(36개),8억이상~10억미만,60억이상(60.9억),5억이상~10억미만,6~8명,10억이상~30억미만,0원,1천만원이상~5천만원미만,5천만원이상~1억원미만,10억이상,0원
CA,2022,0,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
CB,2022,5,단독형,①서울/경기/인천,0개사,10개미만,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,0원,0원,0원,0원,0원,0원
CC(한남대학교 기술지주),2022,9,단독형,②대전/충남/충북,3~5개사,20개이상(31개),3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,3천만원미만,1억원이상~5억원미만,3천만원미만
CD,2022,5,단독형,⑥강원,1~2개사,10개미만,1억미만,20억이상~30억미만,1천만원미만,3~5명,0원,0원,0원,0원,0원,0원
CE(한양대학교 기술지주),2022,14,단독형,①서울/경기/인천,1~2개사,20개이상(34개),5억이상~8억미만,60억이상(103.2억),5억이상~10억미만,6~8명,5억이상~10억미만,0원,0원,1억원이상~5억원미만,1억원이상~5억원미만,5천만원이상~1억원미만
CF,2022,9,단독형,①서울/경기/인천,0개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원
D(대구한의대학교 기술지주),2022,5,단독형,④대구/경북,3~5개사,20개이상(25개),1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,0원,1억원이상~5억원미만,3천만원이상~5천만원미만
E,2022,6,단독형,②대전/충남/충북,1~2개사,10개미만,5억이상~8억미만,10억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원
F(전주대학교 기술지주),2022,3,단독형,⑤광주/전남/전북,6~8개사,20개이상(22개),3억이상~5억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,5천만원이상~1억원미만
G,2022,9,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,5억이상~10억미만,3~5명,5억이상~10억미만,1천만원미만,5천만원이상,3천만원미만,1억원이상~5억원미만,3천만원미만
H,2022,5,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,1천만원미만,0원,0원,0원,3천만원미만,0원
I,2022,5,단독형,⑥강원,0개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,5천만원이상~1억원미만,3~5명,5천만원이상~1억원미만,0원,1천만원미만,0원,3천만원미만,5천만원이상~1억원미만
J(가톨릭대학교 기술지주),2022,10,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원
K,2022,8,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,5억이상~8억미만,50억이상~60억미만,1천만원이상~5천만원미만,3~5명,1억원이상~5억원미만,0원,5천만원이상,0원,1억원이상~5억원미만,3천만원미만
L(경북대학교 기술지주),2022,9,단독형,④대구/경북,3~5개사,20개이상(28개),5억이상~8억미만,40억이상~50억미만,10억이상~30억미만,9명이상(13명),30억이상,0원,1천만원이상~5천만원미만,0원,10억이상,10억이상
M(경상국립대학교 기술지주),2022,6,단독형,③부산/울산/경남,3~5개사,20개이상(21개사),1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원
N,2022,13,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원미만
O(고려대학교 기술지주),2022,13,단독형,①서울/경기/인천,6~8개사,20개이상(57개),5억이상~8억미만,60억이상(205.0억),10억이상~30억미만,9명이상(10명),5억이상~10억미만,0원,0원,5억이상~10억미만,1억원이상~5억원미만,0원
P,2022,3,단독형,①서울/경기/인천,1~2개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원
R,2022,1,단독형,⑤광주/전남/전북,1~2개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
S,2022,5,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
T(한국해양대학교 기술지주),2022,8,단독형,③부산/울산/경남,3~5개사,20개이상(32개),3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,5천만원이상,0원,3천만원이상~5천만원미만,0원
V(대구대학교 기술지주),2022,5,단독형,④대구/경북,3~5개사,20개이상(21개),10억이상~15억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,1천만원미만,0원,3천만원이상~5천만원미만,0원
W,2022,5,단독형,②대전/충남/충북,3~5개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,1천만원미만,3천만원미만,1억원이상~5억원미만,3천만원미만
X(동국대학교 기술지주),2022,12,단독형,①서울/경기/인천,0개사,10개이상~20개미만,15억이상,30억이상~40억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
Y,2022,0,단독형,③부산/울산/경남,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
Z,2022,12,단독형,⑤광주/전남/전북,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
,2022,8,단독형,②대전/충남/충북,3~5개사,20개이상,8억이상~10억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,3천만원미만,1억원이상~5억원미만,1억원이상~5억원미만
,2022,5,단독형,②대전/충남/충북,0개사,10개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,1천만원이상~5천만원미만,0원,0원,0원
