기술지주회사(코드),기준연도,업력년수,설립유형,지역구분,자회사수(신규),자회사 규모,자회사 매출액(평균),자본금 규모 구분,매출액(영업수익),전담인력,총 수입,자회사배당수익,자회사지분매각(일부+전부),투자조합배당수익,국책사업비(정부사업비),"기타 (용역, 컨설팅, 수수료 등)"
BV,2023-12-31,6,단독형,②대전/충남/충북,9개사 이상,20개이상,3억이상~5억미만,50억이상~60억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,1억원이상~5억원미만,3천만원미만
BW,2023-12-31,7,단독형,②대전/충남/충북,3~5개사,20개이상,5억이상~8억미만,20억이상~30억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,1천만원미만,0원,5천만원이상~1억원미만,0원
BX,2023-12-31,11,단독형,④대구/경북,1~2개사,20개이상,3억이상~5억미만,60억이상,30억이상,9명이상,30억이상,0원,0원,10억이상,5억이상~10억미만,5억이상~10억미만
BY,2023-12-31,7,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
BZ,2023-12-31,7,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,1억미만,10억미만,1천만원이상~5천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,0원,3천만원미만
C,2023-12-31,7,공동형,⑤광주/전남/전북,3~5개사,20개이상,8억이상~10억미만,60억이상,10억이상~30억미만,6~8명,10억이상~30억미만,0원,5천만원이상,5천만원이상~1억원미만,5억이상~10억미만,0원
CA,2023-12-31,1,단독형,②대전/충남/충북,1~2개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
CB,2023-12-31,6,단독형,①서울/경기/인천,0개사,10개미만,10억이상~15억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
CC,2023-12-31,10,단독형,②대전/충남/충북,9개사 이상,20개이상,1억이상~3억미만,10억이상~20억미만,5천만원이상~1억원미만,3~5명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,3천만원미만,1억원이상~5억원미만,3천만원이상~5천만원미만
CD,2023-12-31,3,단독형,⑥강원,1~2개사,10개미만,1억이상~3억미만,40억이상~50억미만,1천만원이상~5천만원미만,3~5명,1천만원이상~5천만원미만,0원,0원,3천만원미만,0원,0원
CE,2023-12-31,15,단독형,①서울/경기/인천,1~2개사,20개이상,8억이상~10억미만,60억이상,5억이상~10억미만,6~8명,1억원이상~5억원미만,0원,1천만원미만,1억원이상~5억원미만,0원,0원
CF,2023-12-31,10,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
D,2023-12-31,6,단독형,④대구/경북,3~5개사,20개이상,1억이상~3억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,1천만원미만,0원,1억원이상~5억원미만,5천만원이상~1억원미만
E,2023-12-31,7,단독형,②대전/충남/충북,1~2개사,10개미만,5억이상~8억미만,10억미만,1천만원이상~5천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원
F,2023-12-31,4,단독형,⑤광주/전남/전북,1~2개사,20개이상,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,1천만원미만,0원,0원,1억원이상~5억원미만,3천만원미만
G,2023-12-31,10,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,8억이상~10억미만,20억이상~30억미만,1억원이상~5억원미만,6~8명,1억원이상~5억원미만,0원,0원,3천만원미만,1억원이상~5억원미만,0원
H,2023-12-31,6,단독형,①서울/경기/인천,3~5개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,5천만원이상,0원,3천만원미만,0원
I,2023-12-31,6,단독형,⑥강원,1~2개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,1천만원미만,0원,0원,3천만원이상~5천만원미만,3천만원미만
J,2023-12-31,11,단독형,①서울/경기/인천,0개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,5천만원이상,0원,1억원이상~5억원미만,0원
K,2023-12-31,9,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,60억이상,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원
L,2023-12-31,10,단독형,④대구/경북,6~8개사,20개이상,3억이상~5억미만,50억이상~60억미만,10억이상~30억미만,9명이상,10억이상~30억미만,0원,1천만원이상~5천만원미만,5천만원이상~1억원미만,10억이상,0원
M,2023-12-31,7,단독형,③부산/울산/경남,3~5개사,20개이상,3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,6~8명,1억원이상~5억원미만,0원,0원,0원,0원,1억원이상~5억원미만
N,2023-12-31,14,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,1억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,5천만원이상,0원,3천만원이상~5천만원미만,0원
O,2023-12-31,14,공동형,①서울/경기/인천,3~5개사,20개이상,1억이상~3억미만,60억이상,10억이상~30억미만,9명이상,10억이상~30억미만,0원,5천만원이상,5억이상~10억미만,1억원이상~5억원미만,0원
P,2023-12-31,4,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원
Q,2023-12-31,6,단독형,②대전/충남/충북,3~5개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,0원,0원,0원,0원,0원,0원
R,2023-12-31,2,단독형,⑤광주/전남/전북,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
S,2023-12-31,6,단독형,②대전/충남/충북,0개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
T,2023-12-31,9,단독형,③부산/울산/경남,9개사 이상,20개이상,1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,5천만원이상,0원,3천만원이상~5천만원미만,0원
U,2023-12-31,9,단독형,②대전/충남/충북,3~5개사,20개이상,8억이상~10억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1천만원미만,3천만원미만,1억원이상~5억원미만,1억원이상~5억원미만
V,2023-12-31,6,단독형,④대구/경북,1~2개사,20개이상,5억이상~8억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,0원,5천만원이상~1억원미만,0원
W,2023-12-31,6,단독형,②대전/충남/충북,3~5개사,20개이상,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,3천만원미만,1억원이상~5억원미만,3천만원미만
X,2023-12-31,13,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,15억이상,30억이상~40억미만,1천만원미만,3~5명,0원,0원,0원,0원,0원,0원
Y,2023-12-31,1,단독형,③부산/울산/경남,1~2개사,10개미만,5억이상~8억미만,10억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,0원,3천만원미만
Z,2023-12-31,13,단독형,⑤광주/전남/전북,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
