기술지주회사_익명,설립유형_변환,지역구분_변환,자회사수_변환,자회사규모_변환,자본금규모_변환,사업화수익보유여부,전담인력_변환,투자수익보유여부,국책사업비수익보유여부,연도,업력년수
BU,1,3,1.5,10,5,0,1.5,0,1,2021,3
BV,1,2,1.5,20,25,1,4,1,1,2021,4
BW,1,2,1.5,15,25,1,7,0,1,2021,5
BX,1,4,4,20,55,1,9,1,1,2021,9
BY,1,1,0,10,5,0,0,1,0,2021,5
BZ,1,2,0,15,5,0,0,0,0,2021,5
C,2,5,1.5,20,60,1,7,1,1,2021,5
CB,1,1,1.5,10,5,0,0,0,0,2021,4
CC,1,2,1.5,20,15,0,1.5,0,1,2021,8
CD,1,6,1.5,10,15,0,4,0,0,2021,1
CE,1,1,1.5,20,60,1,4,1,1,2021,13
CF,1,1,7,15,25,1,1.5,0,0,2021,8
D,1,4,4,20,5,1,1.5,0,1,2021,4
E,1,2,1.5,10,5,0,0,0,0,2021,5
F,1,5,4,15,5,1,1.5,0,1,2021,2
G,1,1,1.5,15,25,1,1.5,1,1,2021,8
H,1,1,4,10,5,0,1.5,0,0,2021,4
I,1,6,0,15,15,1,4,0,1,2021,4
J,1,1,0,15,15,1,1.5,1,1,2021,9
K,1,1,1.5,15,45,1,1.5,0,0,2021,7
L,1,4,1.5,20,35,1,9,1,1,2021,8
M,1,3,4,15,15,0,1.5,1,1,2021,5
N,1,1,4,15,15,0,1.5,0,1,2021,12
O,1,1,4,20,60,1,7,1,1,2021,12
P,1,1,0,10,5,0,0,0,1,2021,2
Q,1,2,4,10,5,0,1.5,0,1,2021,4
R,1,5,0,10,5,0,1.5,0,0,2021,0
S,1,2,1.5,15,5,1,0,0,0,2021,4
T,1,3,7,20,5,1,1.5,0,1,2021,7
U,1,2,9,20,25,1,4,1,1,2021,7
V,1,4,4,15,5,1,1.5,1,1,2021,4
W,1,2,1.5,15,5,0,1.5,0,1,2021,4
X,1,1,4,15,35,1,1.5,0,0,2021,11
Z,1,5,0,10,5,0,0,0,0,2021,11
A,1,6,4,20,15,1,4,1,1,2022,8
AA,1,3,1.5,20,15,1,1.5,1,1,2022,10
AB,1,3,9,15,5,0,1.5,1,1,2022,1
AC,1,1,1.5,15,5,0,1.5,0,1,2022,6
AE,1,3,1.5,20,60,1,9,1,1,2022,12
AF,2,3,0,20,60,1,9,1,1,2022,7
AG,1,1,0,5,5,0,1.5,0,0,2022,13
AH,1,1,0,15,5,0,0,0,0,2022,13
AI,1,1,1.5,20,60,1,9,1,1,2022,14
AJ,1,1,1.5,5,5,1,1.5,1,1,2022,4
AK,1,1,1.5,15,25,0,4,0,1,2022,10
AL,1,1,0,5,25,1,1.5,1,0,2022,10
AM,1,2,0,5,5,0,0,0,0,2022,6
AN,1,1,1.5,5,15,1,1.5,1,1,2022,6
AO,1,1,0,5,15,1,1.5,1,1,2022,5
AP,1,1,1.5,5,15,1,1.5,0,1,2022,1
AQ,1,1,4,20,60,1,9,1,1,2022,11
AR,1,3,0,5,25,1,4,1,1,2022,10
AT,1,1,4,15,25,0,1.5,1,1,2022,6
AU,1,3,9,20,15,1,1.5,0,1,2022,4
AV,1,1,4,20,45,0,1.5,1,1,2022,13
AW,1,1,0,5,5,1,1.5,1,0,2022,4
AX,1,5,4,20,55,1,9,1,1,2022,11
AY,1,7,1.5,15,15,0,0,0,1,2022,10
AZ,1,7,0,5,5,0,1.5,0,0,2022,2
B,2,6,4,20,5,1,4,1,1,2022,113
BA,1,5,1.5,15,15,0,1.5,0,1,2022,12
BC,1,4,9,15,5,1,1.5,0,0,2022,0
BE,1,3,0,15,15,0,1.5,0,1,2022,9
BF,1,1,7,20,60,1,7,1,1,2022,4
BG,1,5,4,15,5,1,1.5,0,1,2022,4
BH,1,1,1.5,15,5,0,1.5,0,1,2022,12
BI,2,4,1.5,20,60,1,7,1,1,2022,8
BJ,1,1,1.5,15,15,1,1.5,1,1,2022,4
BK,1,2,1.5,20,15,0,1.5,1,1,2022,8
BL,2,1,9,20,15,1,1.5,1,1,2022,6
BM,1,1,1.5,5,35,1,1.5,0,0,2022,1
BN,1,4,1.5,5,15,1,4,0,1,2022,2
BO,2,5,7,15,35,1,4,0,1,2022,4
BP,2,5,1.5,20,60,1,7,1,1,2022,11
BQ,2,4,0,5,5,0,1.5,0,0,2022,1
BR,1,2,1.5,15,5,0,1.5,1,0,2022,1
BS,1,5,4,15,15,1,1.5,1,1,2022,3
BT,1,1,4,5,15,0,1.5,0,0,2022,8
BU,1,3,0,5,5,0,1.5,0,1,2022,4
BV,1,2,7,20,35,1,4,1,1,2022,5
BW,1,2,9,20,25,0,7,1,1,2022,6
BX,1,4,1.5,20,60,1,9,1,1,2022,10
BY,1,1,0,5,5,0,0,0,0,2022,6
BZ,1,2,1.5,15,5,0,1.5,0,0,2022,6
C,2,5,1.5,20,60,1,7,1,1,2022,6
CA,1,2,0,5,5,0,1.5,0,0,2022,0
CB,1,1,0,5,5,1,1.5,0,0,2022,5
CC,1,2,4,20,15,1,1.5,1,1,2022,9
CD,1,6,1.5,5,25,0,4,0,0,2022,5
CE,1,1,1.5,20,60,1,7,1,1,2022,14
CF,1,1,0,15,25,1,1.5,0,1,2022,9
D,1,4,4,20,5,1,1.5,1,1,2022,5
E,1,2,1.5,5,5,0,0,0,1,2022,6
F,1,5,7,20,5,1,1.5,0,1,2022,3
G,1,1,4,15,25,1,4,1,1,2022,9
H,1,1,1.5,5,5,0,1.5,0,1,2022,5
I,1,6,0,15,15,1,4,1,1,2022,5
J,1,1,1.5,15,25,0,1.5,0,1,2022,10
K,1,1,4,15,55,1,4,1,1,2022,8
L,1,4,4,20,45,1,9,1,1,2022,9
M,1,3,4,20,15,0,1.5,0,1,2022,6
N,1,1,4,15,15,1,1.5,0,1,2022,13
O,1,1,7,20,60,1,9,1,1,2022,13
P,1,1,1.5,5,5,0,1.5,0,1,2022,3
R,1,5,1.5,5,5,0,1.5,0,0,2022,1
S,1,2,1.5,15,5,0,0,0,0,2022,5
T,1,3,4,20,15,1,1.5,1,1,2022,8
V,1,4,4,20,5,1,1.5,1,1,2022,5
W,1,2,4,15,5,1,1.5,1,1,2022,5
X,1,1,0,15,35,0,1.5,0,1,2022,12
Y,1,3,0,5,5,0,1.5,0,0,2022,0
Z,1,5,0,5,5,0,0,0,0,2022,12
,1,2,4,20,25,1,4,1,1,2022,8
,1,2,0,5,5,0,1.5,1,0,2022,5
A,1,6,9,20,15,1,4,1,1,2023,9
AA,1,3,4,20,15,0,1.5,1,1,2023,11
AB,1,3,7,20,5,0,1.5,0,1,2023,2
AC,1,1,1.5,15,5,0,1.5,1,1,2023,7
AE,1,3,1.5,20,60,1,9,1,1,2023,13
AF,2,3,1.5,20,60,1,9,1,1,2023,8
AG,1,1,1.5,5,5,0,1.5,0,0,2023,14
AH,1,1,0,15,5,0,0,0,0,2023,14
AI,1,1,1.5,20,60,1,9,1,0,2023,15
AJ,1,1,0,5,15,1,1.5,1,1,2023,5
AK,1,1,0,15,25,0,4,0,1,2023,11
AL,1,1,0,5,25,1,1.5,1,0,2023,11
AM,1,2,0,5,5,1,0,0,0,2023,7
AN,1,1,0,5,15,1,1.5,1,1,2023,7
AO,1,1,4,5,15,1,1.5,1,1,2023,6
AP,1,1,7,5,15,1,1.5,0,1,2023,2
AQ,1,1,7,20,60,1,9,1,1,2023,12
AR,1,3,0,5,25,0,1.5,1,1,2023,11
AT,1,1,1.5,15,25,0,1.5,1,1,2023,7
AU,1,3,7,20,15,0,0,1,1,2023,5
AV,1,1,9,20,45,1,1.5,1,1,2023,14
AW,1,1,1.5,5,5,1,0,0,0,2023,5
AX,1,5,9,20,55,1,9,1,1,2023,12
AY,1,7,1.5,15,15,1,1.5,0,1,2023,11
AZ,1,7,0,5,5,0,0,0,0,2023,3
B,2,6,4,20,5,1,4,1,1,2023,14
BA,1,5,4,15,15,0,1.5,0,1,2023,13
BB,1,4,9,5,5,1,1.5,0,1,2023,0
BC,1,4,9,20,5,1,1.5,0,1,2023,1
BD,1,2,7,5,5,1,1.5,0,0,2023,0
BE,1,3,4,15,15,1,1.5,0,1,2023,10
BF,1,1,9,20,60,1,7,1,1,2023,5
BG,1,5,4,20,5,1,1.5,0,1,2023,5
BH,1,1,1.5,15,5,1,1.5,1,1,2023,13
BI,2,4,4,20,60,1,7,1,1,2023,9
BJ,1,1,1.5,15,15,0,1.5,0,1,2023,5
BK,1,2,1.5,20,15,0,0,0,0,2023,9
BL,2,1,9,20,15,1,1.5,1,1,2023,7
BM,1,1,0,5,55,1,4,1,0,2023,2
BN,1,4,1.5,5,25,1,4,0,1,2023,3
BO,2,5,4,20,35,1,4,1,1,2023,5
BP,2,5,0,20,60,1,7,1,1,2023,12
BQ,2,4,0,5,5,1,4,1,1,2023,5
BR,1,2,4,15,5,0,1.5,0,0,2023,5
BS,1,5,0,15,15,1,1.5,1,1,2023,4
BT,1,1,1.5,15,15,0,1.5,0,0,2023,9
BU,1,3,1.5,5,5,1,1.5,0,1,2023,5
BV,1,2,9,20,55,1,4,1,1,2023,6
BW,1,2,4,20,25,0,1.5,1,1,2023,7
BX,1,4,1.5,20,60,1,9,1,1,2023,11
BY,1,1,0,5,5,0,0,0,0,2023,7
BZ,1,2,1.5,15,5,1,0,0,0,2023,7
C,2,5,4,20,60,1,7,1,1,2023,7
CA,1,2,1.5,5,5,0,1.5,0,0,2023,1
CB,1,1,0,5,5,0,1.5,0,0,2023,6
CC,1,2,9,20,15,1,4,1,1,2023,10
CD,1,6,1.5,5,45,1,4,1,0,2023,3
CE,1,1,1.5,20,60,1,7,1,0,2023,15
CF,1,1,1.5,15,25,0,1.5,0,1,2023,10
D,1,4,4,20,5,0,1.5,1,1,2023,6
E,1,2,1.5,5,5,1,0,0,1,2023,7
F,1,5,1.5,20,5,1,1.5,1,1,2023,4
G,1,1,4,15,25,1,7,1,1,2023,10
H,1,1,4,5,5,0,1.5,1,1,2023,6
I,1,6,1.5,15,15,1,1.5,1,1,2023,6
J,1,1,0,15,25,1,1.5,1,1,2023,11
K,1,1,1.5,15,60,1,1.5,0,1,2023,9
L,1,4,7,20,55,1,9,1,1,2023,10
M,1,3,4,20,25,1,7,0,0,2023,7
N,1,1,1.5,15,15,1,1.5,1,1,2023,14
O,1,1,4,20,60,1,9,1,1,2023,14
P,1,1,0,5,5,0,1.5,0,1,2023,4
Q,1,2,4,15,5,1,1.5,0,0,2023,6
R,1,5,0,5,5,0,1.5,0,0,2023,2
S,1,2,0,15,5,0,0,0,0,2023,6
T,1,3,9,20,15,0,1.5,1,1,2023,9
U,1,2,4,20,25,1,4,1,1,2023,9
V,1,4,1.5,20,5,0,1.5,1,1,2023,6
W,1,2,4,20,5,1,1.5,1,1,2023,6
X,1,1,4,15,35,0,4,0,0,2023,13
Y,1,3,1.5,5,5,1,1.5,0,0,2023,1
Z,1,5,0,5,5,0,0,0,0,2023,13
A,1,6,4,20,15,1,4,1,1,2024,10
AA,1,3,4,20,15,1,1.5,1,1,2024,12
AB,1,3,4,20,5,0,1.5,0,1,2024,3
AC,1,1,4,15,15,0,1.5,1,1,2024,8
AD,1,2,0,5,5,0,1.5,0,0,2024,0
AE,1,3,0,20,60,1,9,1,1,2024,14
AF,2,3,1.5,20,60,1,9,1,1,2024,9
AG,1,1,1.5,5,5,0,0,0,0,2024,15
AH,1,1,0,15,5,0,0,0,0,2024,15
AI,1,1,1.5,20,60,1,9,1,0,2024,16
AJ,1,1,1.5,5,15,1,4,0,1,2024,6
AK,1,1,0,15,35,0,4,0,1,2024,12
AL,1,1,0,5,25,0,1.5,0,0,2024,12
AM,1,2,0,5,5,1,0,0,0,2024,8
AN,1,1,1.5,5,15,0,1.5,0,1,2024,8
AO,1,1,1.5,5,25,1,4,1,1,2024,7
AP,1,1,7,15,15,1,1.5,0,1,2024,3
AQ,1,1,4,20,60,1,9,1,1,2024,13
AR,1,3,0,5,25,0,4,0,1,2024,12
AS,1,5,1.5,5,5,0,1.5,0,0,2024,0
AT,1,1,1.5,15,25,1,1.5,1,1,2024,8
AU,1,3,7,20,15,1,1.5,1,1,2024,6
AV,1,1,4,20,45,0,1.5,1,0,2024,15
AW,1,1,0,5,5,1,0,0,0,2024,6
AX,1,5,4,20,55,1,9,1,1,2024,13
AY,1,7,0,15,15,1,0,1,1,2024,12
AZ,1,7,0,5,5,0,1.5,0,0,2024,4
B,2,6,1.5,20,5,1,4,0,1,2024,15
BA,1,5,1.5,15,15,0,1.5,0,0,2024,14
BB,1,4,4,15,5,1,1.5,0,1,2024,1
BC,1,4,9,20,15,1,1.5,0,0,2024,2
BD,1,2,9,20,5,1,1.5,1,0,2024,1
BE,1,3,1.5,15,15,1,1.5,0,1,2024,11
BF,1,1,9,20,60,1,4,1,1,2024,6
BG,1,5,7,20,5,1,1.5,1,1,2024,6
BH,1,1,1.5,15,15,1,1.5,1,0,2024,14
BI,2,4,4,20,60,1,7,1,1,2024,10
BJ,1,1,1.5,15,25,0,0,0,1,2024,6
BK,1,2,0,20,15,0,0,1,0,2024,10
BL,2,1,4,20,35,1,1.5,0,1,2024,8
BM,1,1,1.5,5,60,1,4,1,0,2024,3
BN,1,4,4,15,25,1,4,1,1,2024,4
BO,2,5,1.5,20,35,1,4,1,0,2024,6
BP,2,5,0,20,60,1,7,1,1,2024,13
BQ,2,4,0,5,5,1,7,0,1,2024,6
BR,1,2,7,15,15,0,1.5,0,0,2024,6
BS,1,5,4,15,25,1,1.5,1,1,2024,5
BT,1,1,0,15,15,0,1.5,1,0,2024,10
BU,1,3,0,5,5,1,1.5,0,1,2024,6
BV,1,2,4,20,55,1,4,1,1,2024,7
BW,1,2,1.5,20,25,1,1.5,1,1,2024,8
BX,1,4,1.5,20,60,1,9,1,1,2024,12
BY,1,1,1.5,5,5,0,0,0,0,2024,8
BZ,1,2,1.5,15,5,1,0,1,0,2024,8
C,2,5,0,20,60,1,7,1,1,2024,8
CA,1,2,0,5,5,0,1.5,0,0,2024,2
CB,1,1,0,5,5,0,0,0,0,2024,7
CC,1,2,1.5,20,15,0,0,0,0,2024,11
CD,1,6,0,5,55,1,4,1,0,2024,4
CE,1,1,1.5,20,60,1,7,1,1,2024,16
CF,1,1,7,20,25,1,1.5,1,1,2024,11
D,1,4,4,20,5,0,1.5,1,1,2024,7
E,1,2,1.5,5,5,0,0,0,1,2024,8
F,1,5,4,20,5,1,1.5,1,1,2024,5
G,1,1,1.5,15,25,1,4,1,1,2024,11
H,1,1,4,15,5,0,1.5,1,1,2024,7
I,1,6,0,15,15,0,1.5,1,0,2024,7
J,1,1,1.5,15,25,0,1.5,0,0,2024,12
K,1,1,1.5,15,60,1,1.5,0,1,2024,10
L,1,4,1.5,20,55,1,9,1,1,2024,11
M,1,3,0,20,25,1,7,1,0,2024,8
N,1,1,0,15,15,1,1.5,1,1,2024,15
O,1,1,1.5,20,60,1,9,1,1,2024,15
P,1,1,1.5,5,5,1,1.5,1,0,2024,5
Q,1,2,1.5,15,5,1,1.5,1,0,2024,7
R,1,5,1.5,5,5,0,1.5,1,0,2024,3
S,1,2,1.5,15,5,0,0,0,0,2024,7
T,1,3,4,20,15,1,1.5,1,1,2024,10
U,1,2,4,20,25,1,4,1,1,2024,10
V,1,4,1.5,20,5,0,1.5,1,1,2024,7
W,1,2,4,20,5,0,1.5,1,0,2024,7
X,1,1,4,20,35,1,4,1,1,2024,14
Y,1,3,1.5,5,5,1,1.5,0,0,2024,2
Z,1,5,0,5,5,0,0,0,0,2024,14
