지주회사ID,기술지주회사명,설립인가연월,설립유형,소재지,전담인력_수,전담인력_평균업력,전담인력_평균근속연수,자본금_총자본금,자본금_현금자본비율,자본금_현물자본비율,자본금출자구성비율_산학협력단,자본금출자구성비율_학교법인,자본금출자구성비율_공공기관,자본금출자구성비율_투융자기관,자본금출자구성비율_민간기관,자본금출자구성비율_개인엔젤,수익현황_자회사배당수익,수익현황_자회사지분매각,수익현황_기술이전,수익현황_투자조합배당수익등,수익현황_용역및기타수수료,수익현황_정부사업,수익현황_총수익
H011,주식회사 단국대학교기술지주회사,2010년 09월,단독,경기,4.0,4.8,3.0,7.4억,50.0,50.0,75.6,0.0,23.0,0.0,1.4,0.0,86,0,0,62,430,0,578
H012,동신대학교 기술지주회사(주),2010-09,단독,전남,9.0,4.8,1.4,61.4억,64.0,36.0,88.0,0.0,5.4,0.0,6.4,0.2,0,0,0,0,0,476,0
H013,조선대학교기술지주 주식회사,2010년 10월,단독, 광주  ,6.0,6.2,4.0,53.7억,58.7,41.3,99.4,0.0,0.6,0.0,0.0,0.0,17,0,211,0,0,296,228
H014,전남대학교기술지주회사 주식회사,2011-04,단독, 광주  ,7.0,1.9,1.9,18.4억,52.2,47.8,85.3,0.0,14.7,0.0,0.0,0.0,0,0,222,0,353,0,575
H015,연세대학교기술지주 주식회사,2011-04,공동,서울,,2.3,2.3,16.8억,46.4,53.6,52.4,44.6,3.0,0.0,0.0,0.0,0,0,127,0,450,157,577
H016,주식회사 전북지역대학연합기술지주회사,2011-04,공동,전북,11.0,4.6,3.2,16.7억,59.3,40.7,98.2,0.0,0.0,0.0,0.6,1.2,0,1093,0,0,144,1004,1237
H017,가톨릭대학교 기술지주 주식회사,2012-04,단독,서울,2.0,3.7,1.5,23.6억,99.2,0.8,97.5,0.0,0.0,0.0,2.5,0.0,0,0,101,0,192,0,293
H018,세종대학교기술지주 주식회사,2012-04,단독,서울,2.0,6.3,3.0,36.1억,53.7,46.3,100.0,0.0,0.0,0.0,0.0,0.0,0,634,92,27,354,642,1107
H019,동아대학교기술지주 주식회사,2012년 04월,단독,부산,6.0,3.9,3.1,30.8억,66.6,33.4,97.8,0.0,0.0,0.0,1.9,0.3,31,0,0,0,142,812,173
H020,성균관대학교기술지주 주식회사,2012-04,단독,서울,8.0,2.9,2.4,22.8억,78.1,21.9,97.8,0.0,0.0,0.4,1.8,0.0,0,0,0,98,423,955,521
H021,포항공과대학교 기술지주 주식회사,2012-04,단독, 경북  ,2.0,8.6,3.4,41.1억,55.0,45.0,99.8,0.2,0.0,0.0,0.0,0.0,0,1996,142,0,451,0,2589
H022,울산대학교기술지주주식회사,2012-07,단독,울산,,5.2,4.2,14.2억,97.2,2.8,100.0,0.0,0.0,0.0,0.0,0.0,0,0,202,0,404,979,606
H023,제주대학교기술지주주식회사,2012년 07월,단독,제주,13.0,5.8,5.8,23.1억,94.8,5.2,96.6,0.0,3.0,0.0,0.4,0.0,88,0,0,0,282,0,370
H024,경북대학교기술지주 주식회사,2013-06,단독,대구,11.0,2.9,2.9,27.1억,51.3,48.7,97.8,0.0,0.0,0.4,1.8,0.0,0,0,0,236,244,626,480
H025,한양대학교에리카기술지주 주식회사,2013-06,단독,경기,8.0,4.6,4.0,32.2억,67.4,32.6,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,276,905,276
H026,한남대학교기술지주회사 주식회사,2013-08,단독,대전,1.0,5.9,3.5,50.9억,52.5,47.5,57.4,0.0,42.6,0.0,0.0,0.0,0,1426,0,0,206,0,1632
H027,중앙대학교기술지주(주),2013-12,단독,서울,9.0,3.4,0.7,17.7억,57.1,42.9,99.4,0.0,0.6,0.0,0.0,0.0,0,0,155,228,393,0,776
H028,건국대학교기술지주 주식회사,2013-12,단독,서울,15.0,6.5,3.6,35.8억,34.6,65.4,61.7,0.0,38.3,0.0,0.0,0.0,0,0,0,0,258,1095,258
H029,국립한밭대학교기술지주(주),2013-12,단독,대전,2.0,4.5,3.7,40.1억,72.3,27.7,95.3,0.0,4.7,0.0,0.0,0.0,0,0,124,0,0,1379,124
H030,(주)한국공학대학교 기술지주회사,2013-12,단독,경기,4.0,5.1,5.1,8.9억,78.7,21.3,57.3,42.7,0.0,0.0,0.0,0.0,0,0,0,0,340,1506,340
