자회사ID,모회사ID,설립유형,대표이사유형,기업인증현황,분야별현황,업종별현황,운영현황,설립연월,업력,매출액,당기순이익
S0122,H064,단독설립,기타,해당없음,BT,제조업,정상운영,2016-07-01,8,0.0,-22.0
S0123,H012,지분편입(지분매수),교수창업,해당없음,해당없음,정보통신업,정상운영,2023-11-01,1,1149.0,15.0
S0124,H007,지분편입(지분매수),무응답,벤처기업,BT,제조업,정상운영,2020-02-01,4,2144.0,148.0
S0125,H015,단독설립,교수창업,연구소기업,IT,제조업,정상운영,2019-03-01,5,0.0,-48.0
S0126,H020,합작설립,교수창업,해당없음,IT,전문과학및기술서비스업,정상운영,2022-01-01,2,0.0,-12.0
S0127,H081,지분편입(지분매수),전문경영인(파트너기업겸직파견등),벤처기업,해당없음,전문과학및기술서비스업,정상운영,2020-06-01,4,2108.0,81.0
S0128,H021,합작설립,기타,벤처기업,NT,정보통신업,정상운영,2023-12-01,1,1329.0,-20.0
S0129,H055,합작설립,교수창업,벤처기업,해당없음,전문과학및기술서비스업,정상운영,2023-10-01,1,0.0,-32.0
S0130,H077,지분편입(유상증자),전문경영인(창업자),벤처기업,BT,제조업,정상운영,2016-05-01,8,0.0,-118.0
S0131,H009,합작설립,교수창업,연구소기업,해당없음,정보통신업,정상운영,2023-04-01,1,1387.0,128.0
S0132,H050,지분편입(지분매수),교수창업,벤처기업,IT,정보통신업,정상운영,2021-09-01,3,85.0,-71.0
S0133,H049,지분편입(지분매수),기타,연구소기업,BT,전문과학및기술서비스업,정상운영,2010-10-01,14,0.0,-5.0
S0134,H077,지분편입(유상증자),교수창업,이노비즈기업,BT,제조업,정상운영,2023-12-01,1,3599.0,-141.0
S0135,H060,단독설립,전문경영인(파트너기업겸직파견등),벤처기업,IT,제조업,정상운영,2017-08-01,7,0.0,-17.0
S0136,H068,단독설립,무응답,해당없음,해당없음,제조업,정상운영,2013-07-01,11,0.0,-130.0
S0137,H033,합작설립,무응답,벤처기업,CT,정보통신업,정상운영,2022-01-01,2,1485.0,69.0
S0138,H071,지분편입(지분매수),교수창업,해당없음,BT,정보통신업,정상운영,2017-08-01,7,0.0,-140.0
S0139,H002,지분편입(지분매수),전문경영인(파트너기업겸직파견등),연구소기업,해당없음,전문과학및기술서비스업,정상운영,2018-05-01,6,860.0,-61.0
S0140,H015,단독설립,전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2012-01-01,12,0.0,-36.0
S0141,H069,단독설립,교수창업,해당없음,IT,정보통신업,정상운영,2016-02-01,8,0.0,-78.0
S0142,H035,단독설립,교수창업,연구소기업,ET,제조업,정상운영,2023-08-01,1,0.0,-115.0
S0143,H083,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2022-08-01,2,0.0,-92.0
S0144,H044,단독설립,학생창업,벤처기업,IT,제조업,정상운영,2020-06-01,4,0.0,0.0
S0145,H015,단독설립,학생창업,해당없음,해당없음,제조업,정상운영,2018-01-01,6,0.0,0.0
S0146,H038,단독설립,학생창업,연구소기업,ET,정보통신업,정상운영,2019-10-01,5,0.0,-101.0
S0147,H056,합작설립,전문경영인(창업자),해당없음,CT,전문과학및기술서비스업,투자회수(전액),2008-11-01,16,0.0,0.0
S0148,H021,지분편입(유상증자),교수창업,벤처기업,IT,정보통신업,정상운영,2017-06-01,7,1970.0,10.0
S0149,H059,단독설립,학생창업,이노비즈기업,IT,전문과학및기술서비스업,정상운영,2009-05-01,15,0.0,-43.0
S0150,H001,지분편입(지분매수),기타,해당없음,IT,정보통신업,정상운영,2023-07-01,1,1517.0,0.0
S0151,H034,단독설립,학생창업,벤처기업,IT,제조업,정상운영,2020-06-01,4,1868.0,0.0
S0152,H065,지분편입(지분매수),교수창업,해당없음,BT,제조업,정상운영,2016-11-01,8,0.0,0.0
S0153,H023,지분편입(지분매수),기타,해당없음,IT,정보통신업,정상운영,2023-05-01,1,0.0,-78.0
S0154,H065,단독설립,전문경영인(창업자),벤처기업,IT,정보통신업,정상운영,2020-01-01,4,1926.0,-147.0
S0155,H014,단독설립,전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2023-09-01,1,0.0,-17.0
S0156,H081,합작설립,전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2009-05-01,15,0.0,-128.0
S0157,H039,단독설립,교수창업,해당없음,해당없음,제조업,정상운영,2016-03-01,8,0.0,-140.0
S0158,H082,합작설립,교수창업,벤처기업,IT,전문과학및기술서비스업,정상운영,2017-05-01,7,0.0,0.0
S0159,H065,지분편입(유상증자),교수창업,연구소기업,IT,제조업,정상운영,2018-06-01,6,1187.0,143.0
S0160,H078,지분편입(유상증자),학생창업,연구소기업,IT,제조업,정상운영,2017-07-01,7,0.0,-122.0
S0161,H026,단독설립,전문경영인(파트너기업겸직파견등),해당없음,IT,전문과학및기술서비스업,정상운영,2020-01-01,4,1594.0,23.0
S0162,H020,단독설립,교수창업,연구소기업,BT,전문과학및기술서비스업,정상운영,2016-08-01,8,0.0,-71.0
S0163,H048,단독설립,교수창업,신기술창업전문회사,BT,제조업,정상운영,2023-06-01,1,0.0,-67.0
S0164,H021,단독설립,교수창업,연구소기업,BT,제조업,정상운영,2020-05-01,4,0.0,-128.0
S0165,H070,단독설립,전문경영인(창업자),연구소기업,IT,전문과학및기술서비스업,정상운영,2023-11-01,1,0.0,-100.0
S0166,H068,단독설립,기타,연구소기업,BT,전문과학및기술서비스업,정상운영,2010-01-01,14,0.0,-128.0
S0167,H001,지분편입(지분매수),교수창업,연구소기업,IT,정보통신업,정상운영,2018-10-01,6,0.0,0.0
S0168,H077,지분편입(지분매수),학생창업,해당없음,IT,전문과학및기술서비스업,정상운영,2020-02-01,4,3599.0,137.0
S0169,H042,단독설립,전문경영인(파트너기업겸직파견등),연구소기업,BT,제조업,정상운영,2023-06-01,1,308.0,-66.0
S0170,H063,합작설립,학생창업,벤처기업,IT,정보통신업,정상운영,2020-12-01,4,1566.0,73.0
S0171,H003,단독설립,교수창업,연구소기업,IT,도매및소매업,정상운영,2020-01-01,4,0.0,-108.0
S0172,H015,지분편입(지분매수),전문경영인(창업자),해당없음,IT,제조업,정상운영,2021-09-01,3,508.0,89.0
S0173,H047,단독설립,교수창업,해당없음,BT,제조업,정상운영,2021-12-01,3,0.0,-111.0
S0174,H040,합작설립,전문경영인(파트너기업겸직파견등),연구소기업,IT,제조업,정상운영,2019-07-01,5,0.0,-46.0
S0175,H031,지분편입(지분매수),학생창업,연구소기업,IT,정보통신업,정상운영,2022-04-01,2,0.0,-51.0
S0176,H008,지분편입(유상증자),학생창업,벤처기업,IT,전문과학및기술서비스업,정상운영,2013-03-01,11,88.0,0.0
S0177,H031,합작설립,전문경영인(창업자),연구소기업,ET,정보통신업,정상운영,2021-02-01,3,0.0,-36.0
S0178,H073,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2018-09-01,6,3599.0,-116.0
S0179,H011,단독설립,학생창업,해당없음,BT,제조업,폐업(청산),2022-02-01,2,0.0,0.0
S0180,H011,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2022-03-01,2,0.0,0.0
S0181,H063,단독설립,교수창업,기타,IT,제조업,정상운영,2008-12-01,16,296.0,-77.0
S0182,H009,단독설립,기타,벤처기업,BT,정보통신업,정상운영,2022-03-01,2,0.0,-144.0
S0183,H069,지분편입(지분매수),교수창업,연구소기업,ET,제조업,정상운영,2021-11-01,3,0.0,-95.0
S0184,H017,단독설립,학생창업,연구소기업,IT,제조업,정상운영,2019-08-01,5,1197.0,145.0
S0185,H017,지분편입(지분매수),학생창업,벤처기업,IT,전문과학및기술서비스업,폐업(청산),2017-07-01,7,0.0,0.0
S0186,H061,지분편입(유상증자),교수창업,해당없음,BT,도매및소매업,정상운영,2018-05-01,6,0.0,-108.0
S0187,H071,지분편입(유상증자),교수창업,연구소기업,IT,제조업,투자회수(전액),2019-06-01,5,0.0,0.0
S0188,H022,단독설립,교수창업,해당없음,해당없음,제조업,정상운영,2020-08-01,4,0.0,-58.0
S0189,H034,단독설립,무응답,해당없음,IT,제조업,정상운영,2019-12-01,5,0.0,0.0
S0190,H068,단독설립,교수창업,연구소기업,IT,제조업,정상운영,2023-10-01,1,0.0,-68.0
S0191,H078,단독설립,교수창업,벤처기업,BT,제조업,정상운영,2023-04-01,1,0.0,-16.0
S0192,H055,합작설립,학생창업,벤처기업,해당없음,정보통신업,정상운영,2021-12-01,3,0.0,-124.0
S0193,H028,지분편입(지분매수),교수창업,벤처기업,BT,전문과학및기술서비스업,정상운영,2020-09-01,4,1073.0,-148.0
S0194,H070,지분편입(지분매수),전문경영인(창업자),벤처기업,IT,제조업,정상운영,2023-10-01,1,0.0,-96.0
S0195,H026,합작설립,교수창업,벤처기업,해당없음,제조업,정상운영,2019-08-01,5,1491.0,6.0
S0196,H040,단독설립,전문경영인(파트너기업겸직파견등),연구소기업,BT,정보통신업,정상운영,2020-01-01,4,0.0,-21.0
S0197,H052,단독설립,학생창업,벤처기업,IT,정보통신업,정상운영,2010-02-01,14,0.0,-147.0
S0198,H084,단독설립,학생창업,해당없음,IT,제조업,정상운영,2023-06-01,1,0.0,-23.0
S0199,H048,지분편입(지분매수),교수창업,벤처기업,IT,제조업,정상운영,2020-06-01,4,1084.0,-21.0
S0200,H057,지분편입(지분매수),기타,해당없음,BT,도매및소매업,정상운영,2017-01-01,7,0.0,-87.0
S0201,H067,합작설립,교수창업,해당없음,IT,전문과학및기술서비스업,정상운영,2018-03-01,6,0.0,-28.0
S0202,H058,단독설립,학생창업,연구소기업,BT,전문과학및기술서비스업,정상운영,2018-10-01,6,0.0,-28.0
S0203,H016,합작설립,전문경영인(창업자),벤처기업,BT,전문과학및기술서비스업,정상운영,2020-12-01,4,1711.0,-17.0
S0204,H032,합작설립,기타,연구소기업,BT,제조업,정상운영,2008-11-01,16,1196.0,-84.0
S0205,H029,지분편입(지분매수),교수창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2020-02-01,4,1039.0,-9.0
S0206,H009,지분편입(지분매수),기타,연구소기업,IT,정보통신업,정상운영,2022-07-01,2,0.0,0.0
S0207,H044,지분편입(유상증자),학생창업,해당없음,해당없음,제조업,정상운영,2020-09-01,4,780.0,0.0
S0208,H003,지분편입(지분매수),교수창업,해당없음,IT,제조업,정상운영,2022-12-01,2,0.0,-32.0
S0209,H076,단독설립,학생창업,해당없음,ET,정보통신업,정상운영,2015-02-01,9,1349.0,-68.0
S0210,H071,지분편입(지분매수),기타,해당없음,IT,제조업,정상운영,2020-06-01,4,935.0,-139.0
S0211,H030,단독설립,학생창업,연구소기업,IT,정보통신업,정상운영,2022-11-01,2,0.0,-28.0
S0212,H076,단독설립,학생창업,연구소기업,NT,제조업,폐업(청산),2022-12-01,2,0.0,0.0
S0213,H029,지분편입(지분매수),교수창업,해당없음,IT,전문과학및기술서비스업,투자회수(전액),2019-05-01,5,0.0,0.0
S0214,H001,지분편입(지분매수),전문경영인(파트너기업겸직파견등),해당없음,BT,정보통신업,정상운영,2020-07-01,4,0.0,-129.0
S0215,H010,단독설립,무응답,해당없음,BT,정보통신업,정상운영,2015-07-01,9,0.0,-134.0
S0216,H081,지분편입(지분매수),교수창업,연구소기업,ET,제조업,정상운영,2016-01-01,8,1170.0,-117.0
S0217,H008,합작설립,전문경영인(창업자),해당없음,IT,도매및소매업,정상운영,2014-03-01,10,1845.0,-120.0
S0218,H030,합작설립,전문경영인(창업자),이노비즈기업,BT,정보통신업,정상운영,2023-12-01,1,0.0,-65.0
S0219,H009,지분편입(지분매수),학생창업,연구소기업,NT,도매및소매업,정상운영,2019-05-01,5,745.0,151.0
S0220,H005,합작설립,전문경영인(창업자),기타,해당없음,전문과학및기술서비스업,정상운영,2021-12-01,3,0.0,-65.0
S0221,H043,단독설립,학생창업,해당없음,해당없음,도매및소매업,정상운영,2022-11-01,2,1986.0,0.0
S0222,H010,지분편입(지분매수),교수창업,해당없음,IT,제조업,정상운영,2018-12-01,6,1218.0,-48.0
S0223,H066,단독설립,무응답,연구소기업,ET,제조업,정상운영,2019-02-01,5,0.0,-47.0
S0224,H031,지분편입(지분매수),전문경영인(파트너기업겸직파견등),연구소기업,해당없음,제조업,정상운영,2021-07-01,3,29.0,-82.0
S0225,H036,단독설립,교수창업,벤처기업,IT,제조업,정상운영,2022-02-01,2,0.0,-86.0
S0226,H063,단독설립,교수창업,벤처기업,ET,제조업,정상운영,2017-04-01,7,1997.0,-36.0
S0227,H028,단독설립,기타,벤처기업,IT,제조업,정상운영,2021-10-01,3,791.0,-80.0
S0228,H070,지분편입(유상증자),무응답,해당없음,CT,제조업,정상운영,2023-05-01,1,0.0,-44.0
S0229,H017,지분편입(지분매수),전문경영인(창업자),해당없음,해당없음,제조업,정상운영,2022-05-01,2,0.0,-3.0
S0230,H074,합작설립,전문경영인(창업자),벤처기업,IT,제조업,정상운영,2013-10-01,11,0.0,-69.0
S0231,H074,합작설립,전문경영인(파트너기업겸직파견등),해당없음,BT,제조업,정상운영,2021-09-01,3,247.0,156.0
S0232,H061,합작설립,학생창업,연구소기업,BT,교육서비스업,정상운영,2022-09-01,2,0.0,-130.0
S0233,H032,지분편입(지분매수),기타,연구소기업,BT,제조업,정상운영,2021-04-01,3,1140.0,-10.0
S0234,H061,단독설립,교수창업,연구소기업,BT,제조업,정상운영,2017-12-01,7,2263.0,119.0
