Model,Risk_Issue,Involuntariness,Delayed_effects,Severity,Dread,Catastrophic_potential,Harm_to_future_generations,Lack_of_knowledge_exposed,Lack_of_knowledge_scientists,Unfairness,Riskiness,Unacceptability
meta-llama/llama-4-maverick,Sunbathing,2,4,2,2,2,3,2,2,3,4,3
meta-llama/llama-4-maverick,Food colourings,4,3,2,3,3,3,4,3,3,3,3
meta-llama/llama-4-maverick,Genetic engineering,4,3,3,3,4,4,4,3,3,4,4
meta-llama/llama-4-maverick,Nuclear power,4,3,5,4,4,4,4,2,3,4,3
meta-llama/llama-4-maverick,Mugging,5,3,2,3,1,4,2,2,3,4,4
meta-llama/llama-4-maverick,Home accidents,3,3,3,3,2,3,2,2,3,3,3
meta-llama/llama-4-maverick,Ozone depletion,5,4,3,3,4,4,3,1,3,4,3
meta-llama/llama-4-maverick,Car driving,3,4,4,3,4,4,2,1,3,4,3
meta-llama/llama-4-maverick,Microwave ovens,3,3,2,2,3,3,2,2,3,2,2
meta-llama/llama-4-maverick,AIDS,3,3,5,3,4,5,3,1,3,5,4
meta-llama/llama-4-maverick,War,5,4,5,4,5,5,2,2,3,5,5
meta-llama/llama-4-maverick,Terrorism,5,3,4,4,5,4,4,4,3,4,4
meta-llama/llama-4-maverick,Alcoholic drinks,2,3,2,3,3,4,2,2,3,4,3
mistralai/mistral-medium-3-5,Sunbathing,3,3,3,3,3,3,3,4,3,3,3
mistralai/mistral-medium-3-5,Food colourings,3,3,3,3,3,3,3,3,3,3,3
mistralai/mistral-medium-3-5,Genetic engineering,3,3,3,3,4,4,3,3,3,3,3
mistralai/mistral-medium-3-5,Nuclear power,4,3,4,3,5,4,3,3,3,3,3
mistralai/mistral-medium-3-5,Mugging,4,3,3,3,2,3,3,3,3,4,3
mistralai/mistral-medium-3-5,Home accidents,3,3,3,3,3,3,3,3,3,3,3
mistralai/mistral-medium-3-5,Ozone depletion,4,3,3,3,5,5,3,4,3,4,4
mistralai/mistral-medium-3-5,Car driving,3,3,4,3,4,3,3,4,3,3,3
mistralai/mistral-medium-3-5,Microwave ovens,3,3,3,3,1,3,3,4,3,2,3
mistralai/mistral-medium-3-5,AIDS,3,3,4,3,5,4,3,4,3,5,3
mistralai/mistral-medium-3-5,War,4,4,4,3,5,5,3,3,4,5,3
mistralai/mistral-medium-3-5,Terrorism,4,3,4,3,5,4,3,3,3,4,3
mistralai/mistral-medium-3-5,Alcoholic drinks,3,3,3,3,4,4,3,4,3,3,3
deepseek/deepseek-v4-pro,Sunbathing,1,5,2,2,1,2,1,1,1,4,2
deepseek/deepseek-v4-pro,Food colourings,2,3,2,1,5,3,4,2,1,2,2
deepseek/deepseek-v4-pro,Genetic engineering,4,4,3,3,4,3,4,2,3,3,3
deepseek/deepseek-v4-pro,Nuclear power,5,4,4,3,5,5,3,4,4,4,3
deepseek/deepseek-v4-pro,Mugging,5,4,3,3,1,3,4,2,3,5,5
deepseek/deepseek-v4-pro,Home accidents,4,3,3,3,1,2,3,1,1,4,4
deepseek/deepseek-v4-pro,Ozone depletion,5,5,3,2,5,4,2,1,4,4,5
deepseek/deepseek-v4-pro,Car driving,2,4,3,2,4,5,1,1,1,2,2
deepseek/deepseek-v4-pro,Microwave ovens,2,1,2,1,5,1,2,1,1,1,1
deepseek/deepseek-v4-pro,AIDS,3,4,5,1,5,4,3,1,3,5,4
deepseek/deepseek-v4-pro,War,5,4,5,5,5,5,2,3,4,5,5
deepseek/deepseek-v4-pro,Terrorism,5,4,4,4,5,4,4,4,2,5,5
deepseek/deepseek-v4-pro,Alcoholic drinks,2,5,3,2,5,5,2,1,1,4,3
