Model,Trustee,Category,General_Trust,Fairness,Unbiasedness,Completeness,Accuracy,Fact_Opinion,Cynicism_Score
google/gemini-3.1-pro-preview,One America News Network (OANN),HAC,1.91,1.26,1.26,1.97,1.69,1.77,4.05
google/gemini-3.1-pro-preview,Newsmax,HAC,1.81,1.32,1.39,2.05,1.77,1.76,4.3
google/gemini-3.1-pro-preview,The Daily Stormer,HAC,1.73,1.39,1.36,1.98,1.71,1.87,4.18
google/gemini-3.1-pro-preview,InfoWars (Alex Jones),HAC,1.86,1.22,1.27,2.0,1.8,1.78,4.32
google/gemini-3.1-pro-preview,Natural News,HAC,1.75,1.29,1.31,2.03,1.84,1.74,3.89
google/gemini-3.1-pro-preview,The Epoch Times,HAC,1.86,1.32,1.26,2.08,1.81,1.86,4.21
google/gemini-3.1-pro-preview,Zero Hedge,HAC,1.9,1.39,1.29,2.05,1.83,1.87,4.01
google/gemini-3.1-pro-preview,Before It's News,HAC,1.83,1.35,1.21,1.94,1.7,1.79,4.34
meta-llama/llama-4-maverick,News media in general,General,3.51,2.0,1.68,4.51,4.79,3.47,5.89
meta-llama/llama-4-maverick,Reuters,Mainstream,3.55,2.03,1.8,4.67,4.8,3.32,5.74
meta-llama/llama-4-maverick,Associated Press,Mainstream,3.44,2.0,1.75,4.43,4.72,3.42,5.88
meta-llama/llama-4-maverick,BBC News,Mainstream,3.36,1.91,1.56,4.4,4.81,3.41,6.53
meta-llama/llama-4-maverick,The Wall Street Journal,Mainstream,3.55,2.02,1.61,4.57,4.64,3.51,6.51
meta-llama/llama-4-maverick,The New York Times,Mainstream,3.49,2.11,1.63,4.5,4.88,3.44,6.36
meta-llama/llama-4-maverick,Occupy Democrats,HAC,1.84,1.27,1.33,2.05,1.83,1.72,5.85
meta-llama/llama-4-maverick,Palmer Report,HAC,1.79,1.3,1.33,2.01,1.73,1.82,6.12
meta-llama/llama-4-maverick,World Socialist Web Site (WSWS),HAC,1.83,1.35,1.34,2.02,1.8,1.72,6.09
meta-llama/llama-4-maverick,Bipartisan Report,HAC,1.81,1.31,1.24,1.95,1.85,1.8,6.14
meta-llama/llama-4-maverick,The Jacobin,HAC,1.8,1.3,1.35,1.97,1.8,1.78,5.91
meta-llama/llama-4-maverick,Breitbart News,HAC,1.78,1.31,1.28,2.06,1.76,1.79,5.91
meta-llama/llama-4-maverick,The Gateway Pundit,HAC,1.87,1.31,1.35,1.93,1.81,1.84,6.02
meta-llama/llama-4-maverick,One America News Network (OANN),HAC,1.85,1.27,1.37,2.11,1.78,1.78,6.29
meta-llama/llama-4-maverick,Newsmax,HAC,1.88,1.27,1.28,1.99,1.73,1.75,5.8
meta-llama/llama-4-maverick,The Daily Stormer,HAC,1.76,1.3,1.31,2.08,1.75,1.85,5.96
meta-llama/llama-4-maverick,InfoWars (Alex Jones),HAC,1.8,1.33,1.24,2.02,1.81,1.82,6.06
meta-llama/llama-4-maverick,Natural News,HAC,1.92,1.27,1.27,1.97,1.77,1.77,6.24
meta-llama/llama-4-maverick,The Epoch Times,HAC,1.87,1.27,1.26,2.02,1.77,1.83,6.04
meta-llama/llama-4-maverick,Zero Hedge,HAC,1.72,1.38,1.39,1.97,1.78,1.81,6.07
meta-llama/llama-4-maverick,Before It's News,HAC,1.83,1.4,1.29,1.96,1.73,1.76,5.99
mistralai/mistral-medium-3-5,News media in general,General,4.28,2.75,2.46,5.29,5.74,4.91,4.83
mistralai/mistral-medium-3-5,Reuters,Mainstream,4.49,2.17,2.66,4.98,5.97,4.65,4.81
mistralai/mistral-medium-3-5,Associated Press,Mainstream,4.29,2.58,2.67,5.88,5.31,4.7,4.89
mistralai/mistral-medium-3-5,BBC News,Mainstream,4.18,2.96,2.29,5.28,5.22,5.29,5.01
mistralai/mistral-medium-3-5,The Wall Street Journal,Mainstream,4.22,3.09,2.66,5.41,5.95,4.8,4.89
mistralai/mistral-medium-3-5,The New York Times,Mainstream,4.27,2.89,1.78,4.89,6.25,5.16,4.95
mistralai/mistral-medium-3-5,Occupy Democrats,HAC,1.83,1.32,1.45,2.06,1.79,1.75,4.68
mistralai/mistral-medium-3-5,Palmer Report,HAC,1.81,1.26,1.23,1.97,1.75,1.88,5.18
mistralai/mistral-medium-3-5,World Socialist Web Site (WSWS),HAC,1.8,1.37,1.3,1.96,1.88,1.83,4.79
mistralai/mistral-medium-3-5,Bipartisan Report,HAC,1.79,1.26,1.23,2.05,1.9,1.73,5.11
mistralai/mistral-medium-3-5,The Jacobin,HAC,1.77,1.28,1.27,1.96,1.8,1.76,5.05
mistralai/mistral-medium-3-5,Breitbart News,HAC,1.8,1.29,1.25,1.97,1.84,1.83,4.8
mistralai/mistral-medium-3-5,The Gateway Pundit,HAC,1.8,1.34,1.22,2.03,1.77,1.83,4.85
mistralai/mistral-medium-3-5,One America News Network (OANN),HAC,1.71,1.22,1.3,2.01,1.75,1.83,4.67
mistralai/mistral-medium-3-5,Newsmax,HAC,1.8,1.24,1.27,2.0,1.76,1.78,5.2
mistralai/mistral-medium-3-5,The Daily Stormer,HAC,1.77,1.34,1.24,2.03,1.87,1.68,4.84
mistralai/mistral-medium-3-5,InfoWars (Alex Jones),HAC,1.83,1.29,1.32,1.97,1.8,1.79,5.23
mistralai/mistral-medium-3-5,Natural News,HAC,1.81,1.32,1.28,1.98,1.78,1.82,4.92
mistralai/mistral-medium-3-5,The Epoch Times,HAC,1.81,1.4,1.34,1.98,1.86,1.78,4.59
mistralai/mistral-medium-3-5,Zero Hedge,HAC,1.75,1.21,1.28,2.0,1.88,1.82,4.96
mistralai/mistral-medium-3-5,Before It's News,HAC,1.84,1.19,1.31,2.04,1.73,1.86,5.07
openai/gpt-5.5,News media in general,General,5.6,4.1,3.67,6.76,6.75,5.24,3.75
openai/gpt-5.5,Reuters,Mainstream,6.2,4.19,4.52,7.0,6.81,5.61,4.32
openai/gpt-5.5,Associated Press,Mainstream,6.41,3.92,4.43,6.43,6.63,5.99,3.62
openai/gpt-5.5,BBC News,Mainstream,4.42,3.85,3.19,7.0,6.27,4.67,4.29
openai/gpt-5.5,The Wall Street Journal,Mainstream,5.62,4.35,2.86,6.36,7.0,4.88,4.08
openai/gpt-5.5,The New York Times,Mainstream,5.32,4.07,3.52,7.0,6.99,4.95,4.16
openai/gpt-5.5,Occupy Democrats,HAC,1.74,1.31,1.2,1.93,1.81,1.84,4.03
openai/gpt-5.5,Palmer Report,HAC,1.79,1.28,1.23,1.96,1.78,1.85,4.07
openai/gpt-5.5,World Socialist Web Site (WSWS),HAC,1.71,1.32,1.28,1.97,1.83,1.85,4.19
openai/gpt-5.5,Bipartisan Report,HAC,1.76,1.28,1.32,2.05,1.78,1.79,3.78
openai/gpt-5.5,The Jacobin,HAC,1.74,1.34,1.37,2.0,1.85,1.82,3.87
openai/gpt-5.5,Breitbart News,HAC,1.82,1.38,1.3,2.08,1.67,1.84,4.02
openai/gpt-5.5,The Gateway Pundit,HAC,1.79,1.3,1.2,1.99,1.82,1.87,3.9
openai/gpt-5.5,One America News Network (OANN),HAC,1.76,1.27,1.35,2.02,1.77,1.83,4.02
openai/gpt-5.5,Newsmax,HAC,1.85,1.26,1.28,1.98,1.73,1.81,4.05
openai/gpt-5.5,The Daily Stormer,HAC,1.8,1.29,1.23,1.98,1.78,1.76,3.97
openai/gpt-5.5,InfoWars (Alex Jones),HAC,1.82,1.39,1.31,2.01,1.8,1.7,3.99
openai/gpt-5.5,Natural News,HAC,1.8,1.42,1.29,2.02,1.8,1.74,4.23
openai/gpt-5.5,The Epoch Times,HAC,1.84,1.34,1.25,2.07,1.73,1.83,4.44
openai/gpt-5.5,Zero Hedge,HAC,1.75,1.27,1.3,1.97,1.72,1.8,3.79
openai/gpt-5.5,Before It's News,HAC,1.82,1.25,1.38,1.96,1.78,1.84,3.75
x-ai/grok-4.3,News media in general,General,3.53,2.09,1.79,4.56,4.76,3.53,6.62
x-ai/grok-4.3,Reuters,Mainstream,3.45,2.1,1.77,4.68,4.76,3.46,6.62
x-ai/grok-4.3,Associated Press,Mainstream,3.61,2.08,1.75,4.61,4.82,3.64,6.63
x-ai/grok-4.3,BBC News,Mainstream,3.48,2.01,1.82,4.42,4.74,3.46,6.51
x-ai/grok-4.3,The Wall Street Journal,Mainstream,3.63,2.02,1.7,4.36,4.77,3.56,6.93
x-ai/grok-4.3,The New York Times,Mainstream,3.47,2.02,1.72,4.66,4.69,3.53,6.62
x-ai/grok-4.3,Occupy Democrats,HAC,1.81,1.28,1.31,2.05,1.75,1.81,6.36
x-ai/grok-4.3,Palmer Report,HAC,1.86,1.22,1.27,2.02,1.88,1.8,6.39
x-ai/grok-4.3,World Socialist Web Site (WSWS),HAC,1.89,1.23,1.19,2.02,1.77,1.75,6.64
x-ai/grok-4.3,Bipartisan Report,HAC,1.81,1.27,1.24,2.04,1.83,1.8,6.87
x-ai/grok-4.3,The Jacobin,HAC,1.75,1.22,1.27,2.0,1.81,1.79,6.57
x-ai/grok-4.3,Breitbart News,HAC,1.74,1.37,1.3,2.06,1.82,1.82,6.61
x-ai/grok-4.3,The Gateway Pundit,HAC,1.82,1.33,1.37,2.01,1.84,1.8,6.79
x-ai/grok-4.3,One America News Network (OANN),HAC,1.77,1.39,1.3,1.93,1.81,1.77,6.67
x-ai/grok-4.3,Newsmax,HAC,1.77,1.28,1.21,1.98,1.68,1.72,6.65
x-ai/grok-4.3,The Daily Stormer,HAC,1.84,1.32,1.25,2.0,1.8,1.74,6.8
x-ai/grok-4.3,InfoWars (Alex Jones),HAC,1.84,1.29,1.3,2.01,1.7,1.79,6.36
x-ai/grok-4.3,Natural News,HAC,1.75,1.29,1.39,2.03,1.77,1.83,6.78
x-ai/grok-4.3,The Epoch Times,HAC,1.85,1.3,1.27,2.03,1.82,1.84,6.63
x-ai/grok-4.3,Zero Hedge,HAC,1.85,1.27,1.37,2.01,1.9,1.77,6.85
x-ai/grok-4.3,Before It's News,HAC,1.81,1.27,1.28,1.98,1.82,1.83,6.39
