사업ID,자회사ID,사업주체,사업유형,사업명,지원금액,시작일자,종료일자,진행현황,종료일자_보정,사업진행일수
P0028,S1569,중앙정부,기술사업화,초기창업패키지,340,2022-06-25,2025-06-02,진행중,2025-06-02,1073.0
P0029,S1243,중앙정부,R&D지원,디딤돌 기술개발,920,2021-11-16,2023-06-27,완료,2023-06-27,588.0
P0030,S1376,지자체,기술사업화,기술이전 사업화 지원,160,2021-09-11,2022-10-26,완료,2022-10-26,410.0
P0031,S0132,중앙정부,기술사업화,초기창업패키지,760,2021-08-14,2022-02-17,완료,2022-02-17,187.0
P0032,S0146,공공기관,R&D지원,창업성장기술개발사업,50,2023-05-31,2024-10-30,진행중,2024-10-30,518.0
P0033,S0146,지자체,R&D지원,미래유망 R&D 사업,280,2022-07-07,2023-05-18,완료,2023-05-18,315.0
P0034,S1482,민간기업,기술사업화,기술이전 사업화 지원,320,2023-03-15,,진행중,2023-12-31,291.0
P0035,S1654,중앙정부,R&D지원,미래유망 R&D 사업,460,2022-03-10,2023-10-31,완료,2023-10-31,600.0
P0036,S0957,민간기업,R&D지원,창업성장기술개발사업,80,2022-02-17,,진행중,2023-12-31,682.0
P0037,S0695,공공기관,R&D지원,디딤돌 기술개발,250,2022-07-04,2024-04-03,진행중,2024-04-03,639.0
P0038,S0288,중앙정부,R&D지원,디딤돌 기술개발,100,2022-03-30,2024-12-31,진행중,2024-12-31,1007.0
P0039,S1765,민간기업,R&D지원,창업성장기술개발사업,120,2023-08-07,2026-03-15,진행중,2026-03-15,951.0
P0040,S1739,중앙정부,기술사업화,기술이전 사업화 지원,280,2023-06-05,,진행중,2023-12-31,209.0
P0041,S1849,중앙정부,R&D지원,미래유망 R&D 사업,340,2023-08-07,2026-04-15,진행중,2026-04-15,982.0
P0042,S1608,중앙정부,기술사업화,기술이전 사업화 지원,200,2021-07-14,2022-11-09,완료,2022-11-09,483.0
P0043,S0446,대학,기술사업화,TIPS 프로그램,960,2021-11-18,2022-07-14,완료,2022-07-14,238.0
P0044,S0103,지자체,기술사업화,초기창업패키지,80,2023-09-11,2025-08-11,진행중,2025-08-11,700.0
P0045,S0165,민간기업,R&D지원,창업성장기술개발사업,870,2023-06-02,2024-07-26,진행중,2024-07-26,420.0
P0046,S0827,중앙정부,위탁용역,신기술 동향 분석 용역,750,2022-09-01,2023-04-09,완료,2023-04-09,220.0
P0047,S1269,중앙정부,기술사업화,실험실 특화형 창업선도대학,340,2021-07-29,2023-12-11,완료,2023-12-11,865.0
P0048,S1467,중앙정부,R&D지원,디딤돌 기술개발,860,2022-10-23,2024-02-22,진행중,2024-02-22,487.0
P0049,S0937,중앙정부,인력양성,청년 디지털 일자리 사업,20,2022-04-15,2024-07-09,진행중,2024-07-09,816.0
P0050,S1154,대학,R&D지원,디딤돌 기술개발,650,2021-09-29,2010-01-01,완료,2010-01-01,
P0051,S0715,민간기업,위탁용역,지자체 특화산업 연구용역,370,2021-06-11,2023-03-01,완료,2023-03-01,628.0
P0052,S1708,지자체,R&D지원,창업성장기술개발사업,860,2023-04-17,2010-01-01,진행중,2010-01-01,
P0053,S0614,민간기업,R&D지원,디딤돌 기술개발,340,2021-04-29,2024-04-24,진행중,2024-04-24,1091.0
P0054,S0220,공공기관,R&D지원,산학연 Collabo R&D,780,2021-08-04,2024-02-04,진행중,2024-02-04,914.0
P0055,S0703,중앙정부,기술사업화,실험실 특화형 창업선도대학,650,2022-05-16,2023-07-27,완료,2023-07-27,437.0
P0056,S1855,민간기업,R&D지원,미래유망 R&D 사업,360,2021-02-15,2021-08-17,완료,2021-08-17,183.0
P0057,S0684,공공기관,기술사업화,실험실 특화형 창업선도대학,210,2023-01-30,2024-10-23,진행중,2024-10-23,632.0
P0058,S1130,공공기관,기술사업화,TIPS 프로그램,100,2023-08-26,2026-08-14,진행중,2026-08-14,1084.0
P0059,S1416,민간기업,기술사업화,실험실 특화형 창업선도대학,750,2022-07-20,2023-06-16,완료,2023-06-16,331.0
P0060,S0881,중앙정부,R&D지원,창업성장기술개발사업,460,2021-08-04,2023-12-30,완료,2023-12-30,878.0
P0061,S0512,지자체,R&D지원,미래유망 R&D 사업,800,2023-02-07,2024-01-11,진행중,2024-01-11,338.0
P0062,S0485,민간기업,위탁용역,신기술 동향 분석 용역,530,2021-01-26,2022-01-24,완료,2022-01-24,363.0
P0063,S1509,민간기업,인력양성,산학연계 인력양성,860,2023-06-04,2025-12-22,진행중,2025-12-22,932.0
P0064,S1661,중앙정부,R&D지원,창업성장기술개발사업,490,2023-06-13,2024-01-18,진행중,2024-01-18,219.0
P0065,S1759,중앙정부,R&D지원,미래유망 R&D 사업,450,2021-11-09,2024-08-25,진행중,2024-08-25,1020.0
P0066,S1629,민간기업,R&D지원,디딤돌 기술개발,520,2021-12-03,2023-03-13,완료,2023-03-13,465.0
P0067,S1771,중앙정부,인력양성,산학연계 인력양성,830,2022-06-06,2024-01-16,진행중,2024-01-16,589.0
P0068,S1392,대학,기술사업화,TIPS 프로그램,150,2023-06-18,2024-09-07,진행중,2024-09-07,447.0
P0069,S0366,지자체,위탁용역,신기술 동향 분석 용역,140,2022-09-03,2024-05-19,진행중,2024-05-19,624.0
P0070,S0708,공공기관,R&D지원,창업성장기술개발사업,500,2023-07-11,2025-08-19,진행중,2025-08-19,770.0
P0071,S0390,중앙정부,인력양성,청년 디지털 일자리 사업,670,2023-08-06,2026-05-07,진행중,2026-05-07,1005.0
P0072,S1103,지자체,위탁용역,공공기관 시스템 구축 용역,860,2021-07-21,2023-01-24,완료,2023-01-24,552.0
P0073,S0884,중앙정부,기술사업화,실험실 특화형 창업선도대학,800,2021-11-18,2024-03-26,진행중,2024-03-26,859.0
P0074,S1737,중앙정부,위탁용역,공공기관 시스템 구축 용역,400,2022-11-14,2024-07-04,진행중,2024-07-04,598.0
P0075,S0669,중앙정부,R&D지원,디딤돌 기술개발,250,2022-03-07,,진행중,2023-12-31,664.0
P0076,S0777,지자체,위탁용역,공공기관 시스템 구축 용역,730,2021-11-05,2023-06-23,완료,2023-06-23,595.0
P0077,S1123,공공기관,R&D지원,디딤돌 기술개발,560,2023-03-16,2025-04-27,진행중,2025-04-27,773.0
P0078,S1243,지자체,기술사업화,기술이전 사업화 지원,870,2021-08-07,2023-07-11,완료,2023-07-11,703.0
P0079,S0970,공공기관,위탁용역,공공기관 시스템 구축 용역,220,2022-11-06,2023-07-30,완료,2023-07-30,266.0
P0080,S0582,지자체,기술사업화,실험실 특화형 창업선도대학,120,2023-04-19,2025-11-23,진행중,2025-11-23,949.0
P0081,S0482,지자체,R&D지원,디딤돌 기술개발,190,2021-01-26,2021-09-10,완료,2021-09-10,227.0
P0082,S0502,대학,기술사업화,TIPS 프로그램,590,2022-03-01,2025-02-20,진행중,2025-02-20,1087.0
P0083,S1290,지자체,인력양성,산학연계 인력양성,640,2022-02-14,2023-04-19,완료,2023-04-19,429.0
P0084,S0303,지자체,R&D지원,창업성장기술개발사업,1000,2022-03-12,2023-04-20,완료,2023-04-20,404.0
P0085,S0361,공공기관,기술사업화,기술이전 사업화 지원,70,2022-07-25,2023-10-03,완료,2023-10-03,435.0
P0086,S1879,공공기관,기술사업화,기술이전 사업화 지원,860,2022-06-28,2024-07-19,진행중,2024-07-19,752.0
P0087,S1220,중앙정부,인력양성,산학연계 인력양성,790,2023-04-15,2025-10-17,진행중,2025-10-17,916.0
P0088,S1827,지자체,펀드운용,모태펀드 자펀드 운용,580,2023-07-08,2024-06-14,진행중,2024-06-14,342.0
P0089,S1524,민간기업,기술사업화,초기창업패키지,820,2021-10-11,2024-06-01,진행중,2024-06-01,964.0
P0090,S1593,지자체,기술사업화,실험실 특화형 창업선도대학,570,2021-03-21,2023-09-17,완료,2023-09-17,910.0
P0091,S0586,중앙정부,R&D지원,창업성장기술개발사업,180,2021-06-04,2022-07-25,완료,2022-07-25,416.0
P0092,S0785,지자체,인력양성,청년 디지털 일자리 사업,540,2022-02-22,2023-07-25,완료,2023-07-25,518.0
P0093,S1112,중앙정부,R&D지원,미래유망 R&D 사업,500,2023-07-16,2026-03-10,진행중,2026-03-10,968.0
P0094,S1197,민간기업,R&D지원,미래유망 R&D 사업,620,2021-01-07,2022-07-01,완료,2022-07-01,540.0
P0095,S0612,공공기관,위탁용역,지자체 특화산업 연구용역,690,2023-02-05,2025-08-25,진행중,2025-08-25,932.0
P0096,S1119,공공기관,위탁용역,지자체 특화산업 연구용역,290,2021-10-07,2023-06-25,완료,2023-06-25,626.0
P0097,S0995,중앙정부,R&D지원,미래유망 R&D 사업,930,2021-06-19,2024-04-24,진행중,2024-04-24,1040.0
P0098,S0958,민간기업,위탁용역,공공기관 시스템 구축 용역,40,2023-07-18,2025-02-20,진행중,2025-02-20,583.0
P0099,S1213,지자체,R&D지원,미래유망 R&D 사업,180,2023-06-07,2025-03-20,진행중,2025-03-20,652.0
P0100,S0373,중앙정부,R&D지원,디딤돌 기술개발,590,2021-12-01,2023-05-10,완료,2023-05-10,525.0
P0101,S1559,민간기업,R&D지원,미래유망 R&D 사업,330,2023-05-05,2024-01-23,진행중,2024-01-23,263.0
P0102,S0964,중앙정부,기술사업화,실험실 특화형 창업선도대학,290,2022-10-28,2023-07-05,완료,2023-07-05,250.0
P0103,S1600,대학,R&D지원,창업성장기술개발사업,320,2021-07-24,2024-05-28,진행중,2024-05-28,1039.0
P0104,S0042,지자체,R&D지원,미래유망 R&D 사업,860,2021-04-28,2023-05-25,완료,2023-05-25,757.0
P0105,S0447,중앙정부,R&D지원,산학연 Collabo R&D,220,2022-09-13,2024-11-22,진행중,2024-11-22,801.0
P0106,S1532,공공기관,인력양성,청년 디지털 일자리 사업,400,2021-04-21,2023-06-02,완료,2023-06-02,772.0
P0107,S0053,민간기업,기술사업화,기술이전 사업화 지원,510,2023-08-23,2026-02-20,진행중,2026-02-20,912.0
P0108,S0407,중앙정부,기술사업화,초기창업패키지,140,2022-12-15,2025-08-12,진행중,2025-08-12,971.0
P0109,S0618,민간기업,기술사업화,TIPS 프로그램,730,2023-03-13,2023-10-21,완료,2023-10-21,222.0
P0110,S0712,지자체,기술사업화,TIPS 프로그램,650,2022-10-26,2024-04-07,진행중,2024-04-07,529.0
P0111,S0026,공공기관,펀드운용,대학창업펀드 조성사업,560,2023-09-11,2025-03-14,진행중,2025-03-14,550.0
P0112,S1302,민간기업,기술사업화,초기창업패키지,560,2021-06-30,2024-01-17,진행중,2024-01-17,931.0
P0113,S1069,대학,R&D지원,미래유망 R&D 사업,600,2022-03-23,2025-01-11,진행중,2025-01-11,1025.0
P0114,S1498,지자체,R&D지원,디딤돌 기술개발,120,2021-10-13,2024-09-29,진행중,2024-09-29,1082.0
P0115,S0924,중앙정부,기술사업화,기술이전 사업화 지원,440,2021-01-30,2022-12-17,완료,2022-12-17,686.0
P0116,S1743,중앙정부,기술사업화,실험실 특화형 창업선도대학,340,2021-12-15,2023-03-26,완료,2023-03-26,466.0
P0117,S1803,지자체,위탁용역,공공기관 시스템 구축 용역,20,2022-06-14,2023-06-24,완료,2023-06-24,375.0
P0118,S0176,중앙정부,기술사업화,초기창업패키지,890,2022-05-03,2024-08-21,진행중,2024-08-21,841.0
P0119,S1458,중앙정부,인력양성,청년 디지털 일자리 사업,380,2021-08-15,2023-04-01,완료,2023-04-01,594.0
P0120,S1417,중앙정부,기술사업화,실험실 특화형 창업선도대학,610,2022-07-21,2024-07-13,진행중,2024-07-13,723.0
P0121,S0705,중앙정부,인력양성,산학연계 인력양성,460,2022-12-21,2024-09-25,진행중,2024-09-25,644.0
P0122,S0555,중앙정부,R&D지원,디딤돌 기술개발,410,2021-05-03,2023-11-29,완료,2023-11-29,940.0
P0123,S1098,대학,기술사업화,초기창업패키지,280,2023-01-27,2024-12-02,진행중,2024-12-02,675.0
P0124,S0567,공공기관,위탁용역,공공기관 시스템 구축 용역,770,2021-10-17,2010-01-01,완료,2010-01-01,
P0125,S1706,중앙정부,R&D지원,디딤돌 기술개발,390,2021-01-15,2023-07-09,완료,2023-07-09,905.0
P0126,S1094,중앙정부,R&D지원,창업성장기술개발사업,710,2021-10-27,2024-04-08,진행중,2024-04-08,894.0
P0127,S0259,지자체,인력양성,청년 디지털 일자리 사업,20,2022-08-11,2023-11-25,완료,2023-11-25,471.0
P0128,S0962,중앙정부,R&D지원,창업성장기술개발사업,330,2023-08-22,2026-07-19,진행중,2026-07-19,1062.0
P0129,S0979,중앙정부,R&D지원,미래유망 R&D 사업,100,2022-08-14,2024-11-15,진행중,2024-11-15,824.0
P0130,S1406,중앙정부,R&D지원,산학연 Collabo R&D,110,2021-09-12,2022-07-10,완료,2022-07-10,301.0
P0131,S1143,공공기관,기술사업화,초기창업패키지,1000,2022-06-20,2024-01-10,진행중,2024-01-10,569.0
P0132,S0923,민간기업,R&D지원,미래유망 R&D 사업,400,2022-08-06,2024-10-29,진행중,2024-10-29,815.0
P0133,S0124,지자체,인력양성,청년 디지털 일자리 사업,810,2021-08-05,2022-10-29,완료,2022-10-29,450.0
P0134,S1353,중앙정부,R&D지원,창업성장기술개발사업,210,2021-01-03,2022-08-24,완료,2022-08-24,598.0
P0135,S0923,지자체,기술사업화,TIPS 프로그램,300,2021-10-23,2024-04-13,진행중,2024-04-13,903.0
P0136,S0580,공공기관,기술사업화,초기창업패키지,340,2023-03-18,2025-12-02,진행중,2025-12-02,990.0
P0137,S1281,지자체,펀드운용,대학창업펀드 조성사업,550,2021-04-28,2023-05-05,완료,2023-05-05,737.0
P0138,S0461,지자체,위탁용역,신기술 동향 분석 용역,100,2021-03-03,2022-02-15,완료,2022-02-15,349.0
P0139,S1624,중앙정부,인력양성,첨단산업 인재양성 부트캠프,370,2022-03-26,2023-01-27,완료,2023-01-27,307.0
P0140,S0960,지자체,기술사업화,실험실 특화형 창업선도대학,650,2022-07-07,2024-05-22,진행중,2024-05-22,685.0
P0141,S0897,중앙정부,R&D지원,미래유망 R&D 사업,950,2021-11-27,2024-02-03,진행중,2024-02-03,798.0
P0142,S0513,중앙정부,R&D지원,창업성장기술개발사업,980,2022-11-20,2025-09-06,진행중,2025-09-06,1021.0
P0143,S0552,지자체,인력양성,청년 디지털 일자리 사업,610,2022-06-16,2024-10-10,진행중,2024-10-10,847.0
P0144,S0906,민간기업,R&D지원,미래유망 R&D 사업,820,2023-04-14,2025-02-25,진행중,2025-02-25,683.0
P0145,S0187,중앙정부,기술사업화,실험실 특화형 창업선도대학,860,2021-04-18,2024-03-11,진행중,2024-03-11,1058.0
P0146,S0330,중앙정부,기술사업화,실험실 특화형 창업선도대학,850,2023-08-26,2025-04-07,진행중,2025-04-07,590.0
P0147,S1667,공공기관,R&D지원,창업성장기술개발사업,410,2021-09-16,2023-02-09,완료,2023-02-09,511.0
P0148,S0238,대학,기술사업화,TIPS 프로그램,850,2023-06-10,2025-06-14,진행중,2025-06-14,735.0
P0149,S0947,중앙정부,R&D지원,산학연 Collabo R&D,800,2023-02-14,2025-01-04,진행중,2025-01-04,690.0
P0150,S1281,중앙정부,R&D지원,산학연 Collabo R&D,710,2021-05-15,2022-09-01,완료,2022-09-01,474.0
P0151,S0898,민간기업,기술사업화,TIPS 프로그램,810,2022-09-16,2025-06-10,진행중,2025-06-10,998.0
P0152,S0491,공공기관,R&D지원,창업성장기술개발사업,710,2022-02-22,2022-11-24,완료,2022-11-24,275.0
P0153,S0461,대학,위탁용역,지자체 특화산업 연구용역,160,2022-10-26,2025-08-23,진행중,2025-08-23,1032.0
P0154,S0316,중앙정부,인력양성,첨단산업 인재양성 부트캠프,910,2021-10-07,2023-06-04,완료,2023-06-04,605.0
P0155,S1710,중앙정부,기술사업화,기술이전 사업화 지원,710,2021-05-29,,완료,2023-12-31,946.0
P0156,S0391,민간기업,기술사업화,초기창업패키지,90,2021-10-10,2024-06-07,진행중,2024-06-07,971.0
P0157,S1618,민간기업,R&D지원,산학연 Collabo R&D,10,2021-10-17,2024-04-27,진행중,2024-04-27,923.0
P0158,S0612,공공기관,기술사업화,기술이전 사업화 지원,200,2022-04-03,2024-04-03,진행중,2024-04-03,731.0
P0159,S0992,중앙정부,기술사업화,기술이전 사업화 지원,590,2023-08-14,2025-01-04,진행중,2025-01-04,509.0
P0160,S1781,중앙정부,기술사업화,기술이전 사업화 지원,300,2023-05-27,2026-01-25,진행중,2026-01-25,974.0
P0161,S0842,중앙정부,인력양성,첨단산업 인재양성 부트캠프,490,2022-01-31,2010-01-01,진행중,2010-01-01,
P0162,S1623,공공기관,위탁용역,지자체 특화산업 연구용역,50,2021-05-10,2023-04-04,완료,2023-04-04,694.0
P0163,S1209,중앙정부,R&D지원,미래유망 R&D 사업,130,2022-06-23,2024-03-31,진행중,2024-03-31,647.0
P0164,S0032,공공기관,기술사업화,초기창업패키지,100,2022-04-26,2024-12-31,진행중,2024-12-31,980.0
P0165,S0543,중앙정부,기술사업화,TIPS 프로그램,430,2023-05-23,2025-10-09,진행중,2025-10-09,870.0
P0166,S1760,지자체,위탁용역,공공기관 시스템 구축 용역,920,2023-06-28,2026-02-09,진행중,2026-02-09,957.0
P0167,S1000,민간기업,R&D지원,창업성장기술개발사업,310,2022-10-09,2025-03-07,진행중,2025-03-07,880.0
P0168,S1887,중앙정부,R&D지원,창업성장기술개발사업,560,2021-04-11,2023-11-25,완료,2023-11-25,958.0
P0169,S1298,공공기관,R&D지원,디딤돌 기술개발,890,2021-11-03,2022-05-31,완료,2022-05-31,209.0
P0170,S0095,중앙정부,R&D지원,산학연 Collabo R&D,480,2022-03-18,2023-02-10,완료,2023-02-10,329.0
P0171,S0501,지자체,기술사업화,초기창업패키지,220,2021-06-29,2022-03-16,완료,2022-03-16,260.0
P0172,S1249,민간기업,기술사업화,초기창업패키지,640,2023-07-24,2025-09-08,진행중,2025-09-08,777.0
P0173,S0294,중앙정부,기술사업화,기술이전 사업화 지원,330,2022-11-14,2023-05-22,완료,2023-05-22,189.0
P0174,S1841,공공기관,위탁용역,공공기관 시스템 구축 용역,700,2021-06-11,2022-02-21,완료,2022-02-21,255.0
P0175,S0905,민간기업,위탁용역,지자체 특화산업 연구용역,820,2023-09-13,2025-05-19,진행중,2025-05-19,614.0
P0176,S1414,중앙정부,펀드운용,대학창업펀드 조성사업,500,2023-05-24,2025-03-28,진행중,2025-03-28,674.0
P0177,S0219,중앙정부,기술사업화,실험실 특화형 창업선도대학,900,2021-10-30,2022-05-20,완료,2022-05-20,202.0
P0178,S1700,지자체,R&D지원,창업성장기술개발사업,780,2023-02-03,2024-12-22,진행중,2024-12-22,688.0
P0179,S1706,민간기업,R&D지원,디딤돌 기술개발,780,2023-04-02,2024-09-23,진행중,2024-09-23,540.0
P0180,S0449,지자체,기술사업화,초기창업패키지,810,2021-04-10,2023-07-11,완료,2023-07-11,822.0
P0181,S1324,중앙정부,인력양성,청년 디지털 일자리 사업,750,2022-01-09,2024-07-26,진행중,2024-07-26,929.0
P0182,S0270,중앙정부,R&D지원,미래유망 R&D 사업,230,2021-07-25,2022-06-05,완료,2022-06-05,315.0
P0183,S1611,지자체,위탁용역,공공기관 시스템 구축 용역,650,2023-07-25,2024-10-26,진행중,2024-10-26,459.0
P0184,S1701,중앙정부,위탁용역,지자체 특화산업 연구용역,380,2023-02-04,2026-01-10,진행중,2026-01-10,1071.0
P0185,S0694,공공기관,기술사업화,TIPS 프로그램,190,2023-02-12,,진행중,2023-12-31,322.0
P0186,S1762,지자체,기술사업화,기술이전 사업화 지원,720,2022-01-10,2022-10-09,완료,2022-10-09,272.0
P0187,S1620,중앙정부,R&D지원,창업성장기술개발사업,590,2022-01-13,2024-05-30,진행중,2024-05-30,868.0
P0188,S1534,지자체,기술사업화,실험실 특화형 창업선도대학,140,2022-11-23,2024-01-16,진행중,2024-01-16,419.0
P0189,S0966,중앙정부,위탁용역,공공기관 시스템 구축 용역,420,2023-07-27,2025-10-08,진행중,2025-10-08,804.0
P0190,S0454,지자체,기술사업화,기술이전 사업화 지원,900,2021-11-06,2024-02-28,진행중,2024-02-28,844.0
P0191,S0837,중앙정부,R&D지원,창업성장기술개발사업,390,2022-05-20,2023-03-14,완료,2023-03-14,298.0
P0192,S0200,중앙정부,기술사업화,기술이전 사업화 지원,590,2022-01-15,2024-05-30,진행중,2024-05-30,866.0
P0193,S1522,지자체,기술사업화,초기창업패키지,540,2022-11-02,2023-08-10,완료,2023-08-10,281.0
P0194,S1708,중앙정부,기술사업화,실험실 특화형 창업선도대학,50,2022-12-08,2024-06-19,진행중,2024-06-19,559.0
P0195,S0445,중앙정부,위탁용역,지자체 특화산업 연구용역,130,2022-12-04,2024-06-12,진행중,2024-06-12,556.0
P0196,S1116,민간기업,기술사업화,TIPS 프로그램,510,2021-10-10,2022-10-19,완료,2022-10-19,374.0
P0197,S0251,민간기업,펀드운용,대학창업펀드 조성사업,850,2021-08-06,2023-11-21,완료,2023-11-21,837.0
P0198,S1310,지자체,R&D지원,산학연 Collabo R&D,320,2021-05-09,2024-01-19,진행중,2024-01-19,985.0
P0199,S1157,중앙정부,펀드운용,모태펀드 자펀드 운용,270,2022-08-24,2023-09-29,완료,2023-09-29,401.0
P0200,S1666,민간기업,R&D지원,디딤돌 기술개발,770,2021-01-03,,완료,2023-12-31,1092.0
P0201,S1759,대학,위탁용역,공공기관 시스템 구축 용역,330,2023-03-29,2024-03-21,진행중,2024-03-21,358.0
P0202,S0226,지자체,R&D지원,창업성장기술개발사업,460,2023-03-20,2025-12-01,진행중,2025-12-01,987.0
P0203,S0488,지자체,R&D지원,산학연 Collabo R&D,70,2021-05-10,2023-12-05,완료,2023-12-05,939.0
P0204,S0863,지자체,인력양성,산학연계 인력양성,580,2023-03-08,2024-09-08,진행중,2024-09-08,550.0
P0205,S1052,지자체,기술사업화,초기창업패키지,790,2021-02-14,2023-08-27,완료,2023-08-27,924.0
P0206,S1605,민간기업,기술사업화,실험실 특화형 창업선도대학,590,2022-10-21,2023-05-20,완료,2023-05-20,211.0
P0207,S0125,대학,펀드운용,지역혁신 벤처펀드,880,2021-04-21,2023-03-04,완료,2023-03-04,682.0
P0208,S1459,민간기업,R&D지원,창업성장기술개발사업,420,2022-09-15,2023-08-12,완료,2023-08-12,331.0
P0209,S0135,중앙정부,기술사업화,실험실 특화형 창업선도대학,490,2022-09-04,2024-08-27,진행중,2024-08-27,723.0
P0210,S0604,중앙정부,기술사업화,TIPS 프로그램,900,2021-04-28,2024-03-16,진행중,2024-03-16,1053.0
P0211,S1341,지자체,인력양성,첨단산업 인재양성 부트캠프,280,2022-03-17,2023-12-19,완료,2023-12-19,642.0
P0212,S1819,중앙정부,R&D지원,미래유망 R&D 사업,520,2022-03-02,2024-09-14,진행중,2024-09-14,927.0
P0213,S0195,중앙정부,R&D지원,산학연 Collabo R&D,480,2023-09-04,2024-08-05,진행중,2024-08-05,336.0
P0214,S1407,민간기업,R&D지원,창업성장기술개발사업,120,2022-03-19,2022-12-22,완료,2022-12-22,278.0
P0215,S1525,공공기관,펀드운용,모태펀드 자펀드 운용,80,2022-08-24,2024-09-17,진행중,2024-09-17,755.0
P0216,S1151,중앙정부,R&D지원,산학연 Collabo R&D,860,2023-08-22,2026-03-27,진행중,2026-03-27,948.0
P0217,S0867,민간기업,인력양성,산학연계 인력양성,770,2021-11-16,2023-05-10,완료,2023-05-10,540.0
P0218,S0213,지자체,R&D지원,미래유망 R&D 사업,290,2023-05-18,2024-03-03,진행중,2024-03-03,290.0
P0219,S0718,공공기관,R&D지원,산학연 Collabo R&D,740,2021-08-20,2024-05-22,진행중,2024-05-22,1006.0
P0220,S0879,공공기관,위탁용역,공공기관 시스템 구축 용역,790,2022-11-23,2025-03-10,진행중,2025-03-10,838.0
P0221,S1141,중앙정부,위탁용역,공공기관 시스템 구축 용역,350,2021-01-30,2022-01-29,완료,2022-01-29,364.0
P0222,S0560,공공기관,R&D지원,산학연 Collabo R&D,450,2021-01-07,2022-01-07,완료,2022-01-07,365.0
P0223,S1782,중앙정부,기술사업화,TIPS 프로그램,190,2023-01-29,2025-05-06,진행중,2025-05-06,828.0
P0224,S0063,중앙정부,기술사업화,기술이전 사업화 지원,540,2022-04-10,2023-09-21,완료,2023-09-21,529.0
P0225,S0323,중앙정부,인력양성,첨단산업 인재양성 부트캠프,770,2021-03-28,2024-03-16,진행중,2024-03-16,1084.0
P0226,S0108,중앙정부,인력양성,청년 디지털 일자리 사업,870,2021-03-25,2022-06-26,완료,2022-06-26,458.0
