자회사ID,모회사ID,설립유형,대표이사유형,기업인증현황,분야별현황,업종별현황,운영현황,설립연월,업력,매출액,당기순이익
S0092,H030,지분편입(지분매수),기타,해당없음,NT,제조업,정상운영,2020-09,4,0백만원,-25.0
S0093,H005,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2017-07,7,0백만원,-107.0
S0094,H041,지분편입(지분매수),교수창업,연구소기업,BT,정보통신업,정상운영,2020-11,4,0백만원,-143.0
S0095,H052,지분편입(지분매수),교수창업,연구소기업, iT ,정보통신업,정상운영,2021-08,3,890백만원,132.0
S0096,H035,단독설립,전문경영인(창업자),벤처기업,BT,전문과학및기술서비스업,정상운영,2010-01,14,0백만원,-131.0
S0097,H009,단독설립,학생창업,해당없음, iT ,정보통신업,정상운영,2020-08,4,,
S0098,H028,지분편입(지분매수),전문경영인(파트너기업겸직파견등),해당없음,해당없음,제조업,정상운영,2022-11,2,0백만원,-67.0
S0099,H073,단독설립,교수창업,해당없음,BT,기타,정상운영,2019-11,5,699백만원,116.0
S0100,H041,합작설립,전문경영인(창업자),벤처기업,BT,제조업,정상운영,2019-07,5,0백만원,-57.0
S0101,H028,단독설립,교수창업,해당없음,BT,정보통신업,정상운영,2019-07,5,,-101.0
S0102,H084,단독설립,전문경영인(파트너기업겸직파견등),연구소기업,IT,정보통신업,정상운영,2019-01,5,"1,708백만원",118.0
S0103,H064,단독설립,교수창업,해당없음,해당없음,교육서비스업,정상운영,2017-05,7,"1,671백만원",-128.0
S0104,H051,단독설립,기타,연구소기업,BT, 제 조 업 ,정상운영,2017-07,7,"1,958백만원",-36.0
S0105,H083,단독설립,교수창업,해당없음,해당없음,제조업,정상운영,2019-05,5,0백만원,-112.0
S0106,H059,단독설립,교수창업,해당없음,IT,정보통신업,정상운영,2019-12,5,0백만원,
S0107,H019,합작설립,전문경영인(창업자),해당없음,ET,제조업,폐업(청산),2012-11,12,0백만원,0.0
S0108,H034,단독설립,기타,해당없음,IT,정보통신업,정상운영,2008-02,16,0백만원,-143.0
S0109,H018,지분편입(지분매수),전문경영인(파트너기업겸직파견등),연구소기업,BT,제조업,정상운영,2020-10,4,796백만원,-94.0
S0110,H032,단독설립,교수창업,해당없음,IT,정보통신업,정상운영,2019-08,5,,
S0111,H072,단독설립,전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2023-09,1,"1,591백만원",62.0
S0112,H069,지분편입(지분매수),교수창업,해당없음,BT,정보통신업,정상운영,2018-06,6,,-8.0
S0113,H034,지분편입(유상증자),전문경영인(창업자),연구소기업,BT,제조업,정상운영,2022-08,2,448백만원,1.0
S0114,H075,단독설립,교수창업,벤처기업,BT,제조업,정상운영,2020-12,4,0백만원,-143.0
S0115,H055,지분편입(지분매수),학생창업,벤처기업,ET,정보통신업,정상운영,2018-06,6,"1,810백만원",
S0116,H075,지분편입(지분매수),교수창업,신기술창업전문회사,BT,제조업,정상운영,2009-09,15,0백만원,-52.0
S0117,H052,단독설립,학생창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2016-06,8,0백만원,-60.0
S0118,H047,단독설립,전문경영인(창업자),연구소기업,CT,전문과학및기술서비스업,정상운영,2020-02,4,0백만원,-52.0
S0119,H029,단독설립,교수창업,이노비즈기업,IT,전문과학및기술서비스업,정상운영,2017-03,7,"2,109백만원",-147.0
S0120,H018,지분편입(지분매수),전문경영인(파트너기업겸직파견등),연구소기업, iT ,제조업,정상운영,2010-07,14,0백만원,-131.0
S0121,H066,단독설립,교수창업,벤처기업,ET,전문과학및기술서비스업,정상운영,2019-09,5,194백만원,17.0
S0122,H064,단독설립,기타,해당없음,BT,제조업,정상운영,2016-07,8,0백만원,-22.0
S0123,H012,지분편입(지분매수),교수창업,해당없음,해당없음,정보통신업,정상운영,2023-11,1,"1,149백만원",15.0
S0124,H007,지분편입(지분매수),무응답,벤처기업,BT, 제 조 업 ,정상운영,2020-02,4,"2,144백만원",148.0
S0125,H015,단독설립,교수창업,연구소기업,IT,제조업,정상운영,2019-03,5,0백만원,-48.0
S0126,H020,합작설립,교수창업,해당없음,IT,전문과학및기술서비스업,정상운영,2022-01,2,0백만원,-12.0
S0127,H081,지분편입(지분매수),전문경영인(파트너기업겸직파견등),벤처기업,해당없음,전문과학및기술서비스업,정상운영,2020-06,4,"2,108백만원",81.0
S0128,H021,합작설립,기타,벤처기업,NT,정보통신업,정상운영,2023-12,1,"1,329백만원",-20.0
S0129,H055,합작설립,교수창업,벤처기업,해당없음,전문과학및기술서비스업,정상운영,2023-10,1,0백만원,-32.0
S0130,H077,지분편입(유상증자),전문경영인(창업자),벤처기업,BT,제조업,정상운영,2016-05,8,0백만원,-118.0
S0131,H009,합작설립,교수창업,연구소기업,해당없음,정보통신업,정상운영,2023-04,1,"1,387백만원",128.0
S0132,H050,지분편입(지분매수),교수창업,벤처기업,IT,정보통신업,정상운영,2021-09,3,85백만원,-71.0
S0133,H049,지분편입(지분매수),기타,연구소기업,BT,전문과학및기술서비스업,정상운영,2010-10,14,0백만원,-5.0
S0134,H077,지분편입(유상증자),교수창업,이노비즈기업,BT,제조업,정상운영,2023-12,1,"99,999,999,999원",-141.0
S0135,H060,단독설립,전문경영인(파트너기업겸직파견등),벤처기업, iT ,제조업,정상운영,2017-08,7,,-17.0
S0136,H068,단독설립,무응답,해당없음,해당없음, 제 조 업 ,정상운영,2013-07,11,0백만원,-130.0
S0137,H033,합작설립,무응답,벤처기업,CT,정보통신업,정상운영,2022-01,2,"1,485백만원",69.0
S0138,H071,지분편입(지분매수),교수창업,해당없음,BT,정보통신업,정상운영,2017-08,7,0백만원,-140.0
S0139,H002,지분편입(지분매수),전문경영인(파트너기업겸직파견등),연구소기업,해당없음,전문과학및기술서비스업,정상운영,2018-05,6,860백만원,-61.0
S0140,H015,단독설립,전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2012-01,12,0백만원,-36.0
S0141,H069,단독설립,교수창업,해당없음,IT,정보통신업,정상운영,2016-02,8,0백만원,-78.0
S0142,H035,단독설립,교수창업,연구소기업,ET, 제 조 업 ,정상운영,2023-08,1,0백만원,-115.0
S0143,H083,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2022-08,2,0백만원,-92.0
S0144,H044,단독설립,학생창업,벤처기업,IT,제조업,정상운영,2020-06,4,0백만원,
S0145,H015,단독설립,학생창업,해당없음,해당없음,제조업,정상운영,2018-01,6,0백만원,
S0146,H038,단독설립,학생창업,연구소기업,ET,정보통신업,정상운영,2019-10,5,0백만원,-101.0
S0147,H056,합작설립,전문경영인(창업자),해당없음,CT,전문과학및기술서비스업,투자회수(전액),2008-11,16,0백만원,0.0
S0148,H021,지분편입(유상증자),교수창업,벤처기업,IT,정보통신업,정상운영,2017-06,7,"1,970백만원",10.0
S0149,H059,단독설립,학생창업,이노비즈기업,IT,전문과학및기술서비스업,정상운영,2009-05,15,0백만원,-43.0
S0150,H001,지분편입(지분매수),기타,해당없음,IT,정보통신업,정상운영,2023-07,1,"1,517백만원",
S0151,H034,단독설립,학생창업,벤처기업, iT ,제조업,정상운영,2020-06,4,"1,868백만원",
S0152,H065,지분편입(지분매수),교수창업,해당없음,BT,제조업,정상운영,2016-11,8,0백만원,
S0153,H023,지분편입(지분매수),기타,해당없음,IT,정보통신업,정상운영,2023-05,1,0백만원,-78.0
S0154,H065,단독설립,전문경영인(창업자),벤처기업,IT,정보통신업,정상운영,2020-01,4,"1,926백만원",-147.0
S0155,H014,단독설립,전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2023-09,1,,-17.0
S0156,H081,합작설립,전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2009-05,15,0백만원,-128.0
S0157,H039,단독설립,교수창업,해당없음,해당없음,제조업,정상운영,2016-03,8,0백만원,-140.0
S0158,H082,합작설립,교수창업,벤처기업,IT,전문과학및기술서비스업,정상운영,2017-05,7,0백만원,
S0159,H065,지분편입(유상증자),교수창업,연구소기업,IT,제조업,정상운영,2018-06,6,"1,187백만원",143.0
S0160,H078,지분편입(유상증자),학생창업,연구소기업, iT , 제 조 업 ,정상운영,2017-07,7,0백만원,-122.0
S0161,H026,단독설립,전문경영인(파트너기업겸직파견등),해당없음,IT,전문과학및기술서비스업,정상운영,2020-01,4,"1,594백만원",23.0
S0162,H020,단독설립,교수창업,연구소기업,BT,전문과학및기술서비스업,정상운영,2016-08,8,0백만원,-71.0
S0163,H048,단독설립,교수창업,신기술창업전문회사,BT, 제 조 업 ,정상운영,2023-06,1,0백만원,-67.0
S0164,H021,단독설립,교수창업,연구소기업,BT,제조업,정상운영,2020-05,4,0백만원,-128.0
S0165,H070,단독설립,전문경영인(창업자),연구소기업,IT,전문과학및기술서비스업,정상운영,2023-11,1,0백만원,-100.0
S0166,H068,단독설립,기타,연구소기업,BT,전문과학및기술서비스업,정상운영,2010-01,14,0백만원,-128.0
S0167,H001,지분편입(지분매수),교수창업,연구소기업,IT,정보통신업,정상운영,2018-10,6,0백만원,
S0168,H077,지분편입(지분매수),학생창업,해당없음,IT,전문과학및기술서비스업,정상운영,2020-02,4,"99,999,999,999원",137.0
S0169,H042,단독설립,전문경영인(파트너기업겸직파견등),연구소기업,BT,제조업,정상운영,2023-06,1,308백만원,-66.0
S0170,H063,합작설립,학생창업,벤처기업,IT,정보통신업,정상운영,2020-12,4,"1,566백만원",73.0
S0171,H003,단독설립,교수창업,연구소기업, iT ,도매및소매업,정상운영,2020-01,4,0백만원,-108.0
S0172,H015,지분편입(지분매수),전문경영인(창업자),해당없음,IT,제조업,정상운영,2021-09,3,508백만원,89.0
S0173,H047,단독설립,교수창업,해당없음,BT,제조업,정상운영,2021-12,3,0백만원,-111.0
S0174,H040,합작설립,전문경영인(파트너기업겸직파견등),연구소기업, iT ,제조업,정상운영,2019-07,5,0백만원,-46.0
S0175,H031,지분편입(지분매수),학생창업,연구소기업, iT ,정보통신업,정상운영,2022-04,2,0백만원,-51.0
S0176,H008,지분편입(유상증자),학생창업,벤처기업,IT,전문과학및기술서비스업,정상운영,2013-03,11,88백만원,
S0177,H031,합작설립,전문경영인(창업자),연구소기업,ET,정보통신업,정상운영,2021-02,3,0백만원,-36.0
S0178,H073,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2018-09,6,"99,999,999,999원",-116.0
S0179,H011,단독설립,학생창업,해당없음,BT,제조업,폐업(청산),2022-02,2,0백만원,0.0
S0180,H011,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2022-03,2,,
S0181,H063,단독설립,교수창업,기타,IT,제조업,정상운영,2008-12,16,296백만원,-77.0
S0182,H009,단독설립,기타,벤처기업,BT,정보통신업,정상운영,2022-03,2,0백만원,-144.0
S0183,H069,지분편입(지분매수),교수창업,연구소기업,ET,제조업,정상운영,2021-11,3,0백만원,-95.0
S0184,H017,단독설립,학생창업,연구소기업,IT,제조업,정상운영,2019-08,5,"1,197백만원",145.0
S0185,H017,지분편입(지분매수),학생창업,벤처기업,IT,전문과학및기술서비스업,폐업(청산),2017-07,7,0백만원,
S0186,H061,지분편입(유상증자),교수창업,해당없음,BT,도매및소매업,정상운영,2018-05,6,0백만원,-108.0
S0187,H071,지분편입(유상증자),교수창업,연구소기업,IT,제조업,투자회수(전액),2019-06,5,0백만원,0.0
S0188,H022,단독설립,교수창업,해당없음,해당없음,제조업,정상운영,2020-08,4,0백만원,-58.0
S0189,H034,단독설립,무응답,해당없음, iT ,제조업,정상운영,2019-12,5,,
S0190,H068,단독설립,교수창업,연구소기업,IT, 제 조 업 ,정상운영,2023-10,1,0백만원,-68.0
S0191,H078,단독설립,교수창업,벤처기업,BT,제조업,정상운영,2023-04,1,0백만원,-16.0
S0192,H055,합작설립,학생창업,벤처기업,해당없음,정보통신업,정상운영,2021-12,3,0백만원,-124.0
S0193,H028,지분편입(지분매수),교수창업,벤처기업,BT,전문과학및기술서비스업,정상운영,2020-09,4,"1,073백만원",-148.0
S0194,H070,지분편입(지분매수),전문경영인(창업자),벤처기업,IT,제조업,정상운영,2023-10,1,0백만원,-96.0
S0195,H026,합작설립,교수창업,벤처기업,해당없음, 제 조 업 ,정상운영,2019-08,5,"1,491백만원",6.0
S0196,H040,단독설립,전문경영인(파트너기업겸직파견등),연구소기업,BT,정보통신업,정상운영,2020-01,4,0백만원,-21.0
S0197,H052,단독설립,학생창업,벤처기업,IT,정보통신업,정상운영,2010-02,14,,-147.0
S0198,H084,단독설립,학생창업,해당없음,IT,제조업,정상운영,2023-06,1,0백만원,-23.0
S0199,H048,지분편입(지분매수),교수창업,벤처기업,IT,제조업,정상운영,2020-06,4,"1,084백만원",-21.0
S0200,H057,지분편입(지분매수),기타,해당없음,BT,도매및소매업,정상운영,2017-01,7,0백만원,-87.0
S0201,H067,합작설립,교수창업,해당없음,IT,전문과학및기술서비스업,정상운영,2018-03,6,0백만원,-28.0
S0202,H058,단독설립,학생창업,연구소기업,BT,전문과학및기술서비스업,정상운영,2018-10,6,0백만원,-28.0
S0203,H016,합작설립,전문경영인(창업자),벤처기업,BT,전문과학및기술서비스업,정상운영,2020-12,4,"1,711백만원",-17.0
S0204,H032,합작설립,기타,연구소기업,BT,제조업,정상운영,2008-11,16,"1,196백만원",-84.0
S0205,H029,지분편입(지분매수),교수창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2020-02,4,"1,039백만원",-9.0
S0206,H009,지분편입(지분매수),기타,연구소기업, iT ,정보통신업,정상운영,2022-07,2,0백만원,
S0207,H044,지분편입(유상증자),학생창업,해당없음,해당없음,제조업,정상운영,2020-09,4,780백만원,
S0208,H003,지분편입(지분매수),교수창업,해당없음,IT, 제 조 업 ,정상운영,2022-12,2,0백만원,-32.0
S0209,H076,단독설립,학생창업,해당없음,ET,정보통신업,정상운영,2015-02,9,"1,349백만원",-68.0
S0210,H071,지분편입(지분매수),기타,해당없음,IT,제조업,정상운영,2020-06,4,935백만원,-139.0
S0211,H030,단독설립,학생창업,연구소기업,IT,정보통신업,정상운영,2022-11,2,0백만원,-28.0
S0212,H076,단독설립,학생창업,연구소기업,NT,제조업,폐업(청산),2022-12,2,,
S0213,H029,지분편입(지분매수),교수창업,해당없음,IT,전문과학및기술서비스업,투자회수(전액),2019-05,5,0백만원,0.0
S0214,H001,지분편입(지분매수),전문경영인(파트너기업겸직파견등),해당없음,BT,정보통신업,정상운영,2020-07,4,0백만원,-129.0
S0215,H010,단독설립,무응답,해당없음,BT,정보통신업,정상운영,2015-07,9,0백만원,-134.0
S0216,H081,지분편입(지분매수),교수창업,연구소기업,ET,제조업,정상운영,2016-01,8,"1,170백만원",-117.0
S0217,H008,합작설립,전문경영인(창업자),해당없음,IT,도매및소매업,정상운영,2014-03,10,"1,845백만원",-120.0
S0218,H030,합작설립,전문경영인(창업자),이노비즈기업,BT,정보통신업,정상운영,2023-12,1,0백만원,-65.0
S0219,H009,지분편입(지분매수),학생창업,연구소기업,NT,도매및소매업,정상운영,2019-05,5,745백만원,151.0
S0220,H005,합작설립,전문경영인(창업자),기타,해당없음,전문과학및기술서비스업,정상운영,2021-12,3,0백만원,-65.0
S0221,H043,단독설립,학생창업,해당없음,해당없음,도매및소매업,정상운영,2022-11,2,"1,986백만원",
S0222,H010,지분편입(지분매수),교수창업,해당없음,IT,제조업,정상운영,2018-12,6,"1,218백만원",-48.0
S0223,H066,단독설립,무응답,연구소기업,ET,제조업,정상운영,2019-02,5,0백만원,-47.0
S0224,H031,지분편입(지분매수),전문경영인(파트너기업겸직파견등),연구소기업,해당없음,제조업,정상운영,2021-07,3,29백만원,-82.0
S0225,H036,단독설립,교수창업,벤처기업,IT,제조업,정상운영,2022-02,2,0백만원,-86.0
S0226,H063,단독설립,교수창업,벤처기업,ET,제조업,정상운영,2017-04,7,"1,997백만원",-36.0
S0227,H028,단독설립,기타,벤처기업,IT,제조업,정상운영,2021-10,3,791백만원,-80.0
S0228,H070,지분편입(유상증자),무응답,해당없음,CT,제조업,정상운영,2023-05,1,0백만원,-44.0
S0229,H017,지분편입(지분매수),전문경영인(창업자),해당없음,해당없음,제조업,정상운영,2022-05,2,0백만원,-3.0
S0230,H074,합작설립,전문경영인(창업자),벤처기업,IT, 제 조 업 ,정상운영,2013-10,11,,-69.0
S0231,H074,합작설립,전문경영인(파트너기업겸직파견등),해당없음,BT,제조업,정상운영,2021-09,3,247백만원,156.0
S0232,H061,합작설립,학생창업,연구소기업,BT,교육서비스업,정상운영,2022-09,2,0백만원,-130.0
S0233,H032,지분편입(지분매수),기타,연구소기업,BT,제조업,정상운영,2021-04,3,"1,140백만원",-10.0
S0234,H061,단독설립,교수창업,연구소기업,BT, 제 조 업 ,정상운영,2017-12,7,"2,263백만원",119.0
S0235,H053,단독설립,교수창업,연구소기업,BT,기타,정상운영,2021-01,3,0백만원,-90.0
S0236,H025,지분편입(지분매수),교수창업,벤처기업,IT,정보통신업,투자회수(전액),2019-06,5,0백만원,0.0
S0237,H013,단독설립,교수창업,벤처기업,BT,정보통신업,정상운영,2021-10,3,0백만원,-139.0
S0238,H013,단독설립,교수창업,연구소기업,IT,제조업,정상운영,2023-08,1,0백만원,-39.0
