지주회사ID,기술지주회사명,설립인가연월,설립유형,소재지,전담인력_수,전담인력_평균업력,전담인력_평균근속연수,자본금_총자본금,자본금_현금자본비율,자본금_현물자본비율,자본금출자구성비율_산학협력단,자본금출자구성비율_학교법인,자본금출자구성비율_공공기관,자본금출자구성비율_투융자기관,자본금출자구성비율_민간기관,자본금출자구성비율_개인엔젤,수익현황_자회사배당수익,수익현황_자회사지분매각,수익현황_기술이전,수익현황_투자조합배당수익등,수익현황_용역및기타수수료,수익현황_정부사업,수익현황_총수익
H024,경북대학교기술지주 주식회사,2013-06-01,단독,대구,11.0,2.9,2.9,2710.0,51.3,48.7,97.8,0.0,0.0,0.4,1.8,0.0,0,0,0,236,244,626,480
H025,한양대학교에리카기술지주 주식회사,2013-06-01,단독,경기,8.0,4.6,4.0,3220.0,67.4,32.6,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,276,905,276
H026,한남대학교기술지주회사 주식회사,2013-08-01,단독,대전,1.0,5.9,3.5,5090.0,52.5,47.5,57.4,0.0,42.6,0.0,0.0,0.0,0,1426,0,0,206,0,1632
H027,중앙대학교기술지주(주),2013-12-01,단독,서울,9.0,3.4,0.7,1770.0,57.1,42.9,99.4,0.0,0.6,0.0,0.0,0.0,0,0,155,228,393,0,776
H028,건국대학교기술지주 주식회사,2013-12-01,단독,서울,15.0,6.5,3.6,3580.0,34.6,65.4,61.7,0.0,38.3,0.0,0.0,0.0,0,0,0,0,258,1095,258
H029,국립한밭대학교기술지주(주),2013-12-01,단독,대전,2.0,4.5,3.7,4010.0,72.3,27.7,95.3,0.0,4.7,0.0,0.0,0.0,0,0,124,0,0,1379,124
H030,(주)한국공학대학교 기술지주회사,2013-12-01,단독,경기,4.0,5.1,5.1,890.0,78.7,21.3,57.3,42.7,0.0,0.0,0.0,0.0,0,0,0,0,340,1506,340
H031,주식회사 국립부경대학교 기술지주회사,2013-12-01,단독,부산,2.0,4.5,3.3,4080.0,35.3,64.7,99.5,0.0,0.0,0.0,0.0,0.5,0,0,0,225,211,336,436
H032,주식회사 순천향대학교기술지주회사,2014-06-01,단독,충남,4.0,9.4,4.1,1610.0,59.0,41.0,60.9,0.0,0.0,0.0,38.5,0.6,0,0,0,0,364,1180,364
H033,(주)강원대학교기술지주회사,2014-06-01,단독,강원,8.0,5.7,3.5,1000.0,100.0,0.0,84.0,12.0,0.0,1.0,3.0,0.0,0,0,0,0,0,0,0
H034,국립한국해양대학교 기술지주 주식회사,2014-11-01,단독,부산,8.0,3.6,1.8,6020.0,46.8,53.2,100.0,0.0,0.0,0.0,0.0,0.0,0,0,81,156,335,1311,572
H035,주식회사 대경지역대학공동기술지주,2014-11-01,공동,대구,8.0,7.3,5.3,6130.0,41.1,58.9,83.8,0.2,16.0,0.0,0.0,0.0,0,0,0,0,425,629,425
H036,부산지역대학연합기술지주(주),2015-08-01,공동,부산,6.0,3.3,3.3,5230.0,62.9,37.1,90.4,0.0,9.6,0.0,0.0,0.0,85,0,0,0,179,197,264
H037,주식회사 명지대학교 기술지주회사,2016-01-01,단독,경기,4.0,6.1,4.8,2370.0,95.8,4.2,57.4,0.0,41.8,0.0,0.4,0.4,0,0,0,0,265,0,265
H038,충북대학교기술지주 주식회사,2016-01-01,단독,충북,14.0,1.8,1.8,1180.0,63.6,36.4,100.0,0.0,0.0,0.0,0.0,0.0,0,1856,228,124,331,621,2539
H039,한경대학교기술지주 주식회사,2016-01-01,단독,경기,6.0,3.0,3.0,4520.0,74.6,25.4,99.6,0.4,0.0,0.0,0.0,0.0,0,0,0,0,386,240,386
H040,한국기술교육대학교기술지주(주),2016-01-01,단독,충남,6.0,6.1,1.5,3130.0,82.1,17.9,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,194,0
H041,경상국립대학교기술지주 주식회사,2016-06-01,단독,경남,3.0,7.2,4.5,1320.0,51.5,48.5,100.0,0.0,0.0,0.0,0.0,0.0,79,466,0,0,169,1110,714
H042,선문대기술지주 주식회사,2016-06-01,단독,충남,12.0,6.0,6.0,3460.0,77.7,22.3,96.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,149,460,149
H043,세한대학교 기술지주 주식회사,2016-06-01,단독,전남,3.0,5.5,2.1,830.0,63.9,36.1,100.0,0.0,0.0,0.0,0.0,0.0,0,0,230,0,0,1487,230
H044,숙명여자대학교기술지주 주식회사,2016-06-01,단독,서울,13.0,5.1,2.8,5820.0,69.6,30.4,53.1,0.2,42.6,0.0,4.1,0.0,0,0,145,0,0,1108,145
H045,이화여자대학교기술지주 주식회사,2016-06-01,단독,서울,11.0,2.7,2.7,2110.0,75.8,24.2,69.2,0.0,30.8,0.0,0.0,0.0,0,0,39,0,426,1164,465
H046,주식회사 엔포유대학연합기술지주회사,2016-06-01,공동,경기,4.0,4.3,2.8,4390.0,66.3,33.7,100.0,0.0,0.0,0.0,0.0,0.0,0,0,70,0,70,1305,140
H047,(주)광주지역대학연합기술지주,2016-09-01,공동,광주,5.0,4.8,1.3,2410.0,44.4,55.6,93.8,0.4,5.8,0.0,0.0,0.0,0,0,77,0,353,1352,430
H048,한국예술종합학교 기술지주회사,2017-03-01,단독,서울,4.0,7.8,3.7,3580.0,83.8,16.2,81.9,0.0,17.3,0.0,0.0,0.8,83,0,0,216,245,890,544
H049,충남대학교 기술지주 주식회사,2017-03-01,단독,대전,2.0,6.4,2.0,3740.0,54.0,46.0,97.3,2.7,0.0,0.0,0.0,0.0,0,0,0,0,151,0,151
H050,가천대학교기술지주 주식회사,2017-03-01,단독,경기,7.0,2.2,2.2,1680.0,48.8,51.2,99.4,0.0,0.0,0.0,0.6,0.0,0,0,0,132,151,605,283
H051,국립공주대학교 기술지주회사(주),2017-03-01,단독,충남,12.0,6.3,2.2,6150.0,36.3,63.7,59.8,1.1,1.1,0.0,38.0,0.0,0,0,182,0,0,402,182
H052,대전대학교 기술지주(주),,단독,대전,3.0,4.9,4.9,5040.0,67.9,32.1,78.9,18.5,2.6,0.0,0.0,0.0,0,0,0,0,405,783,405
H053,국립한국교통대학교기술지주 주식회사,2017-06-01,단독,충북,3.0,4.3,2.4,5970.0,73.5,26.5,52.4,0.7,46.9,0.0,0.0,0.0,0,0,140,0,334,0,474
H054,가톨릭관동대학교 기술지주(주),2017-06-01,단독,강원,6.0,6.9,3.1,5710.0,34.0,66.0,99.8,0.0,0.0,0.2,0.0,0.0,0,1588,0,0,378,629,1966
H055,대구대학교 기술지주 주식회사,2017-09-01,단독,경북,1.0,7.8,4.8,4030.0,64.3,35.7,96.3,1.0,0.0,0.0,2.7,0.0,0,0,95,0,293,0,388
H056,(주)대구한의대학교기술지주,,단독,경북,12.0,7.6,1.8,5870.0,46.2,53.8,81.6,0.0,0.0,0.0,18.4,0.0,45,0,0,141,272,701,458
H057,숭실대학교기술지주 주식회사,2017-09-01,단독,서울,7.0,4.0,3.9,1140.0,83.3,16.7,99.1,0.0,0.0,0.0,0.9,0.0,0,0,0,0,286,440,286
H058,서울시립대학교기술지주 주식회사,,단독,서울,4.0,5.1,5.1,1740.0,50.6,49.4,57.5,12.6,0.0,0.0,29.9,0.0,0,0,32,0,78,859,110
H059,인하대학교 기술지주 주식회사,2017-12-01,단독,인천,5.0,6.4,1.2,890.0,93.3,6.7,91.0,0.0,0.0,0.0,9.0,0.0,24,0,0,34,340,0,398
H060,주식회사 호서대학교기술지주회사,2017-12-01,단독,충남,9.0,7.7,3.9,2480.0,60.1,39.9,73.8,9.3,16.5,0.0,0.0,0.4,0,0,178,0,447,638,625
H061,주식회사 포항연합기술지주,2017-12-01,공동,경북,6.0,4.7,4.0,2840.0,91.9,8.1,92.6,7.4,0.0,0.0,0.0,0.0,0,0,207,0,0,1281,207
H062,창원대학교 기술지주(주),,단독,경남,8.0,5.3,4.8,2190.0,48.4,51.6,56.6,0.0,21.0,0.0,22.4,0.0,0,0,120,0,393,948,513
H063,주식회사 서울과학기술대학교기술지주,2018-06-01,단독,서울,8.0,3.5,1.7,5350.0,54.4,45.6,59.3,0.0,40.7,0.0,0.0,0.0,0,0,226,0,213,0,439
H064,주식회사 국민대학교기술지주,2018-06-01,단독,서울,4.0,3.3,1.6,2660.0,44.0,56.0,96.6,3.4,0.0,0.0,0.0,0.0,0,0,162,0,328,670,490
H065,주식회사 국립군산대학교기술지주,2018-09-01,단독,전북,6.0,7.3,4.4,2230.0,90.6,9.4,100.0,0.0,0.0,0.0,0.0,0.0,0,0,106,0,0,268,106
H066,인제대학교 기술지주 주식회사,2018-09-01,단독,경남,2.0,8.4,4.0,3720.0,86.8,13.2,100.0,0.0,0.0,0.0,0.0,0.0,89,0,0,0,438,399,527
H067,주식회사 전남지역대학연합 창업기술지주,2018-10-01,공동,전남,15.0,5.6,4.0,1430.0,57.3,42.7,95.1,0.0,0.0,0.0,4.9,0.0,0,0,0,0,0,971,0
H068,주식회사 전북대학교 기술지주회사,2018-12-01,단독,전북,3.0,7.7,4.1,5190.0,72.3,27.7,100.0,0.0,0.0,0.0,0.0,0.0,0,0,114,198,212,1344,524
H069,광운대학교 기술지주 주식회사,2019-03-01,단독,서울,11.0,6.4,2.6,1050.0,93.3,6.7,100.0,0.0,0.0,0.0,0.0,0.0,0,0,217,0,369,0,586
H070,(주)전주대학교 기술지주회사,2019-07-01,단독,전북,13.0,4.4,3.9,6240.0,65.5,34.5,98.0,0.0,0.2,0.0,1.8,0.0,0,0,0,0,144,1197,144
H071,영남대학교 기술지주회사,2020-07-01,단독,경북,6.0,6.4,4.0,5030.0,63.8,36.2,97.4,0.0,1.8,0.0,0.8,0.0,106,0,0,0,227,890,333
H072,한림대학교 기술지주회사,2020-07-01,단독,강원,3.0,8.8,2.5,1760.0,54.0,46.0,84.7,0.0,0.0,0.0,15.3,0.0,0,0,0,0,183,0,183
H073,제주한라대학교 기술지주회사,2020-08-01,단독,제주,5.0,5.6,4.0,660.0,53.0,47.0,69.7,0.0,12.1,0.0,18.2,0.0,0,0,0,0,64,593,64
H074,동의대학교 기술지주 주식회사,2020-12-01,단독,부산,13.0,8.8,4.0,5260.0,87.1,12.9,59.1,0.0,40.9,0.0,0.0,0.0,38,0,0,93,0,1421,131
H075,국립순천대학교기술지주 주식회사,2020-12-01,단독,전남,3.0,1.0,1.0,4650.0,87.5,12.5,100.0,0.0,0.0,0.0,0.0,0.0,0,0,198,188,222,0,608
H076,아주대학교기술지주 주식회사,2021-07-01,단독,경기,2.0,7.3,3.0,4770.0,71.1,28.9,100.0,0.0,0.0,0.0,0.0,0.0,0,0,86,0,415,926,501
H077,주식회사 연세대학교 바이오헬스기술지주회사,2021-07-01,단독,서울,15.0,5.9,2.1,5020.0,52.6,47.4,99.8,0.0,0.2,0.0,0.0,0.0,0,0,0,0,139,0,139
H078,(주)금오공과대학교 기술지주회사,2022-01-01,단독,경북,10.0,5.1,2.0,1060.0,64.2,35.8,99.1,0.9,0.0,0.0,0.0,0.0,0,638,0,164,411,329,1213
H079,한국영상대학교 기술지주 주식회사,2022-06-01,단독,세종,1.0,5.9,2.0,2680.0,78.7,21.3,78.0,0.0,0.0,0.0,22.0,0.0,0,642,0,0,69,1342,711
H080,동서대학교기술지주 주식회사,2022-09-01,단독,부산,2.0,1.7,1.7,1290.0,91.5,8.5,62.0,0.0,34.9,0.0,2.3,0.8,0,0,0,0,431,885,431
H081,(주)경일대학교 기술지주,2023-01-01,단독,경북,15.0,5.3,1.0,5530.0,85.7,14.3,99.8,0.2,0.0,0.0,0.0,0.0,0,0,143,27,0,882,170
H082,주식회사 건국대학교글로컬기술지주,2023-01-01,단독,충북,3.0,6.4,1.0,4170.0,80.6,19.4,72.9,0.0,26.6,0.0,0.5,0.0,17,709,0,0,0,368,726
H083,목원대학교기술지주 주식회사,2024-02-01,단독,대전,2.0,8.7,1.0,2510.0,72.1,27.9,90.4,9.6,0.0,0.0,0.0,0.0,0,0,0,0,459,1141,459
H084,원광대학교 기술지주 주식회사,2024-05-01,단독,전북,6.0,4.7,1.0,1000.0,49.0,51.0,97.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,106,1096,106
